

---- with Levensthein distance  0 found 1057 -----

source name, source unified, source id, matched name, matched unified, matched id
Bapawa, bapawa, SLE03041202, bapawa, bapawa, 4-12-09
Batowa, batowa, SLE03041203, batowa, batowa, 4-12-12
Bekowa, bekowa, SLE03041204, bekowa, bekowa, 4-12-02
Deyombo, deyombo, SLE03041205, deyombo, deyombo, 4-12-11
Fortune, fortune, SLE03041206, fortune, fortune, 4-12-03
Kpukumu, kpukumu, SLE03041209, kpukumu, kpukumu, 4-12-08
Seiwoh, seiwoh, SLE03041210, seiwoh, seiwoh, 4-12-07
Yabai, yabai, SLE03041212, yabai, yabai, 4-12-04
Bakoi, bakoi, SLE03040401, bakoi, bakoi, 4-07-03
Kemo-Bo, kemobo, SLE03041207, kemo bo, kemobo, 4-12-05
Banyande, banyande, SLE03040402, banyande, banyande, 4-07-07
Pelegbulor, pelegbulor, SLE03040213, pelegbulor, pelegbulor, 4-02-08
Jassende Kpeima, jassendekp, SLE03040301, jassende kpeima, jassendekp, 4-03-02
Jassende Masaoma, jassendema, SLE03040302, jassende masaoma, jassendema, 4-03-05
Kabonde, kabonde, SLE03040403, kabonde, kabonde, 4-07-01
Fikie, fikie, SLE03020201, fikie, fikie, 2-02-01
Vanjelu, vanjelu, SLE03011406, vanjelu, vanjelu, 1-14-08
Dakona, dakona, SLE03040101, dakona, dakona, 4-01-08
Gbengain, gbengain, SLE03020202, gbengain, gbengain, 2-02-02
Kondogbe, kondogbe, SLE03040404, kondogbe, kondogbe, 4-07-04
Petifu Bana, petifubana, SLE02040208, petifu bana, petifubana, 24-02-12
Gbondubum, gbondubum, SLE03020203, gbondubum, gbondubum, 2-02-03
Duramania, duramania, SLE02020104, duramania, duramania, 22-02-04
Senjehun, senjehun, SLE03020604, senjehun, senjehun, 2-06-04
Taokunor, taokunor, SLE03020606, taokunor, taokunor, 2-06-06
Kwako Lanten, kwakolante, SLE03020702, kwako lanteh, kwakolante, 2-07-03
Massa Settie, massasetti, SLE03020703, massa settie, massasetti, 2-07-01
Mosenten Sahen II, mosentensa, SLE03020704, mosenten sahen i, mosentensa, 2-07-06
Tubla, tubla, SLE03020705, tubla, tubla, 2-07-05
Bullom, bullom, SLE03020803, bullom, bullom, 2-08-03
Garinga, garinga, SLE03020804, garinga, garinga, 2-08-04
Gbangbassa, gbangbassa, SLE03020805, gbangbassa, gbangbassa, 2-08-05
Gbap, gbap, SLE03020806, gbap, gbap, 2-08-06
Hahun, hahun, SLE03020807, hahun, hahun, 2-08-07
Kessie, kessie, SLE03020808, kessie, kessie, 2-08-08
