CHIEFDOM,SECTION,LOCALITY
Badjia,Damia,Ngelehun
Badjia,Damia,Gondama
Badjia,Damia,Penjama
Badjia,Damia,Jawe
Badjia,Damia,Dambala
Badjia,Fallay,Bumpewo
Badjia,Fallay,Pelewahun
Badjia,Fallay,Pendembu
Badjia,Kpallay,Jokibu
Badjia,Kpallay,Kpaku
Badjia,Kpallay,Giewoma
Badjia,Kpallay,Fala
Badjia,Kpallay,Kugbahun
Badjia,Kpallay,Jahandama
Badjia,Kpallay,Gumahun
Badjia,Njargbahun,Kebawana
Badjia,Njargbahun,Jelu
Badjia,Njargbahun,Kpowabu
Badjia,Njargbahun,Jagban
Badjia,Njargbahun,Kpetema
Badjia,Njargbahun,Yorvuhun
Badjia,Njargbahun,Ndaambu
Badjia,Njargbahun,Solima
Badjia,Njargbahun,Ngalahun
Badjia,Njargbahun,Bangiema
Badjia,Sei,Nomiama
Badjia,Sei,Jaluahun
Badjia,Sei,Palima
Badjia,Sei,Korjehun
Badjia,Sei,Guma
Badjia,Sei,Giehun
Badjia,Sei,Sarso
Badjia,Sei,Sembehun
Badjia,Sei,Mbokeni
Bagbo,Bum,Gballeh
Bagbo,Bum,Kenema
Bagbo,Bum,Tokpombu
Bagbo,Bum,Bum-Kaku
Bagbo,Bum,Gbatorma
Bagbo,Bum,Balleh
Bagbo,Gorapon,Gbenya (Old)
Bagbo,Gorapon,Panguma
Bagbo,Gorapon,Largowo
Bagbo,Gorapon,Dema
Bagbo,Gorapon,Mohapewa
Bagbo,Gorapon,Mogbon
Bagbo,Gorapon,Mokoba
Bagbo,Gorapon,Kassay
Bagbo,Gorapon,Yeinsa
Bagbo,Jimmi,Levuma
Bagbo,Jimmi,Garinga
Bagbo,Jimmi,Mandu
Bagbo,Jimmi,Limba
Bagbo,Jimmi,Kakama
Bagbo,Jimmi,Kpawama
Bagbo,Jimmi,Mopandima
Bagbo,Jimmi,Gordie
Bagbo,Jimmi,Waiima
Bagbo,Jimmi,Bandajuma
Bagbo,Jimmi,Manjama
Bagbo,Jimmi,Bandoima
Bagbo,Jimmi,Yeinken
Bagbo,Jimmi,Damballa
Bagbo,Jimmi,Mattru
Bagbo,Jimmi,Jimm
Bagbo,Jimmi,Gordie
Bagbo,Jimmi,Waiima
Bagbo,Jimmi,Senehun - Ngola
Bagbo,Kpangbalia,Nyandehun
Bagbo,Kpangbalia,Mogbain
Bagbo,Kpangbalia,Farbaina (Old)
Bagbo,Kpangbalia,Baoma
Bagbo,Kpangbalia,Kpangbalia
Bagbo,Kpangbalia,Senehun - Somba
Bagbo,Kpangbalia,Mbonda
Bagbo,Kpangbalia,Kpetewoma
Bagbo,Kpangbalia,Gibina
Bagbo,Mano,Mondorkor
Bagbo,Mano,Tokpombu
Bagbo,Mano,Dandabu
Bagbo,Mano,Semabu
Bagbo,Mano,Mano-Yorgbor
Bagbo,Niagorehun,Mandehun
Bagbo,Niagorehun,Salema
Bagbo,Niagorehun,Mosakpa
Bagbo,Niagorehun,Niagorehun
Bagbo,Tissawa,Sembehun
Bagbo,Tissawa,Ngiehun
Bagbo,Tissawa,Temuma
Bagbo,Tissawa,Moway
Bagbo,Tissawa,Mondamble
Bagbo,Tissawa,Kortulablama
Bagbo,Tissawa,Ngolawoma
Bagbo,Tissawa,Mossa Gbahun
Bagbo,Tissawa,Manibo
Bagbo,Tissawa,Mani
Bagbo,Tissawa,Yegele
Bagbo,Tissawa,Monjemei
Bagbo,Tissawa,Mbelebu
Bagbo,Tissawa,Tolobu
Bagbo,Tissawa,Gonoama
Bagbo,Tissawa,Folla
Bagbe,Jongo,Mokpendeh
Bagbe,Jongo,Gbarma
Bagbe,Jongo,Venima
Bagbe,Jongo,Bandajuma
Bagbe,Jongo,Faabu
