CHIEFDOM,SECTION,LOCALITY
Biriwa,Bumban,Kasena
Biriwa,Bumban,Kasengbe
Biriwa,Bumban,Kamareki
Biriwa,Bumban,Bumban Mahenda
Biriwa,Bumban,Kagbetay
Biriwa,Bumban,Kasoma
Biriwa,Bumban,Kasankorie
Biriwa,Bumban,Kamahetay
Biriwa,Bumban,Kamankala
Biriwa,Bumban,Kamakoini
Biriwa,Bumban,Kawonor
Biriwa,Bumban,Kapak
Biriwa,Bumban,Kakutuhun
Biriwa,Bumban,Kateneh I
Biriwa,Bumban,Kakoini
Biriwa,Bumban,Kamaporeh
Biriwa,Bumban,Kakanbay
Biriwa,Bumban,Kalumbay
Biriwa,Bumban,Kasompona
Biriwa,Bumban,Kamanameh
Biriwa,Bumban,Kamatelun
Biriwa,Bumban,Kamagbengbe
Biriwa,Bumban,Kantiri Village
Biriwa,Bumban,Magbonso
Biriwa,Bumban,Kalenkay
Biriwa,Bumban,Kamakonthon
Biriwa,Bumban,Kamafutikay
Biriwa,Bumban,Kamatengben
Biriwa,Bumban,Kapeteh
Biriwa,Bumban,Kasendugu
Biriwa,Bumban,Bumban
Biriwa,Bumban,Kabari I
Biriwa,Bumban,Kagbonka
Biriwa,Bumban,Kakongbala
Biriwa,Bumban,Kakeako
Biriwa,Bumban,Kamatedi
Biriwa,Bumban,Kadala I
Biriwa,Bumbandain,Kamakorhe
Biriwa,Bumbandain,Kamaboli
Biriwa,Bumbandain,Bumban Kendeka
Biriwa,Bumbandain,Maforay
Biriwa,Bumbandain,Kamalokokoh
Biriwa,Bumbandain,Kawonoh
Biriwa,Bumbandain,Kamaferah
Biriwa,Bumbandain,Kamakuna
Biriwa,Bumbandain,Kamakampeh
Biriwa,Bumbandain,Kamasungbon
Biriwa,Bumbandain,Kamakondeh
Biriwa,Bumbandain,Kamatotan
Biriwa,Bumbandain,Bumbandain
Biriwa,Bumbandain,Kamakeday
Biriwa,Bumbandain,Kamadautili
Biriwa,Bumbandain,Kamoi
Biriwa,Bumbandain,Kamakontaykay
Biriwa,Bumbandain,Kasasi
Biriwa,Bumbandain,Kayelen
Biriwa,Bumbandain,Kamakonkoh
Biriwa,Bumbandain,Kamagboni
