CHIEFDOM,SECTION,LOCALITY
Bendu - Cha,Sokenteh,Moalbert
Bendu - Cha,Sokenteh,Gondoma
Bendu - Cha,Sokenteh,Moseibom
Bendu - Cha,Sokenteh,Mobitie
Bendu - Cha,Sokenteh,Mosenesie
Bendu - Cha,Sokenteh,Bomimahun
Bendu - Cha,Sokenteh,Malema
Bendu - Cha,Sokenteh,M'Baima
Bendu - Cha,Sokenteh,Gbangeima
Bendu - Cha,Sokenteh,Mojajua
Bendu - Cha,Sokenteh,Mogbindi
Bendu - Cha,Sokenteh,Bomidae
Bendu - Cha,Sokenteh,Barbo
Bendu - Cha,Sokenteh,Lonteh
Bendu - Cha,Yallan - Gbokie,Momaya
Bendu - Cha,Yallan - Gbokie,Gibina
Bendu - Cha,Yallan - Gbokie,Mokisan
Bendu - Cha,Yallan - Gbokie,Moyoteh
Bendu - Cha,Yallan - Gbokie,Mosebi
Bendu - Cha,Yallan - Gbokie,Nyandehun
Bendu - Cha,Yallan - Gbokie,Gbahama
Bendu - Cha,Yallan - Gbokie,Foya
Bendu - Cha,Yallan - Gbokie,Kanga
Bendu - Cha,Yallan - Gbokie,Gbahan
Bendu - Cha,Yallan - Gbokie,Senjehun
Bendu - Cha,Yallan - Gbokie,Mosimbo
Bendu - Cha,Yallan - Gbokie,Mokainwa
Bendu - Cha,Yallan - Gbokie,Mai
Bendu - Cha,Yallan - Gbokie,Gbaloh
Bendu - Cha,Yallan - Gbokie,Mogbokie
Bendu - Cha,Yallan - Gbokie,Molamdeh
Bendu - Cha,Yallan - Gbokie,Gbahama - Tungie
Bendu - Cha,Tissagbe,Mowanga
Bendu - Cha,Tissagbe,Moyema
Bendu - Cha,Tissagbe,Wunde
Bendu - Cha,Tissagbe,Tisana
Bendu - Cha,Tissagbe,Goudama
Bendu - Cha,Tissagbe,Mopetu
Bendu - Cha,Tissagbe,Kpendehun
Bendu - Cha,Tissagbe,Giehun
Bendu - Cha,Tissagbe,Maka
Bendu - Cha,Tissagbe,Moguanje
Bendu - Cha,Tissagbe,Kpasambo
Bendu - Cha,Tissagbe,Hopabai
Bendu - Cha,Tissagbe,Taigbe
Bendu - Cha,Gba- Cha,Mocharles
Bendu - Cha,Gba- Cha,Kengesi
Bendu - Cha,Gba- Cha,Mosawie
Bendu - Cha,Gba- Cha,Kondor
Bendu - Cha,Gba- Cha,Tasor
Bendu - Cha,Gba- Cha,Gbampovulahun
Bendu - Cha,Gba- Cha,Krimivulahun
Bendu - Cha,Gba- Cha,Gbabom 
Bendu - Cha,Gba- Cha,Giehun
Bendu - Cha,Gba- Cha,Batein
Bendu - Cha,Gba- Cha,Moturay
Bendu - Cha,Gba- Cha,Bomidae
Bendu - Cha,Gba- Cha,Mboki
Bendu - Cha,Gba- Cha,Modavis
Bum,Fikie,Benge
Bum,Fikie,Semile
Bum,Fikie,Senehun
Bum,Fikie,Sugbale 
Bum,Fikie,Tangahun
Bum,Fikie,Boyipie
Bum,Gbengain,Tormandi
Bum,Gbengain,Kale
Bum,Gbengain,Kalu
Bum,Gbengain,Bisao
Bum,Gbengain,Woboi
Bum,Gbengain,Misila
Bum,Gbondubum,Malema
Bum,Gbondubum,Gondama
Bum,Gbondubum,Dema
Bum,Gbondubum,Madina 
Bum,Gbondubum,Nupi
Bum,Gbondubum,Panti
Bum,Gbondubum,Koandebu
Bum,Gbondubum,Tongoleh
Bum,Gbondubum,Senuhun
Bum,Koimato,Mogbavai
Bum,Koimato,Kpatobu
Bum,Koimato,Mami
Bum,Lanje,Neba
Bum,Lanje,Bumpetoke
Bum,Lanje,Bopole
Bum,Lanje,Geseihun
Bum,Lanje,Mania
Bum,Lanje,Worleh
Bum,Lanje,Kanga 
Bum,Lanje,Nyandehun
Bum,Lanje,Kponima
Bum,Lanje,Mende
Bum,Lanje,Yawei
Bum,Tamba,Tisana
Bum,Tamba,Bolleh
Bum,Tamba,Baraka
Bum,Tamba,Partan
Bum,Tamba,Jangale
Bum,Tamba,Talia
Bum,Tamba,Jabama
