CHIEFDOM,SECTION,LOCALITY
Dea,Baiwalla,Tambeyama
Dea,Baiwalla,Joru
Dea,Baiwalla,Nyandehun
Dea,Baiwalla,Baiwalla
Dea,Baiwalla,Kporbu
Dea,Baiwalla,Bogboima
Dea,Baiwalla,Buduma
Dea,Baiwalla,Grima
Dea,Baiwalla,Largo
Dea,Baiwalla,Sembehun
Dea,Dodo,Dodo
Dea,Dodo,Nagbena
Dea,Dodo,Gbokolah
Dea,Dodo,Gbojeima
Dea,Dodo,Jaluahun
Dea,Dodo,Gohun
Dea,Dodo,Gobaru
Dea,Dodo,Sipayema
Dea,Sakiema,Jembeh
Dea,Sakiema,Yengema
Dea,Sakiema,Siama
Dea,Sakiema,Sakiema
Dea,Sakiema,Bogema
Dea,Sakiema,Kangama
Dea,Sakiema,Boekema
Dea,Sienga,Njewoma
Dea,Sienga,Gbandivulahun
Dea,Sienga,Weima
Dea,Sienga,Sienga
Dea,Sienga,Kangama
Dea,Sienga,Baoma
Dea,Sienga,Giewoma (Saolahun)
Dea,Sienga,Bandajuma
Dea,Sienga,Takpoima
Dea,Sienga,Gbahama
Jawie,Bobor,Jagbema
Jawie,Bobor,Folu
Jawie,Bobor,Kambama
Jawie,Bobor,Fargoya
Jawie,Bobor,Sengama
Jawie,Bobor,Jaiwulo
Jawie,Bobor,Bafehun
Jawie,Bobor,Sogorma
Jawie,Bobor,Levuma
Jawie,Bobor,Semabu
Jawie,Bobor,Baoma
Jawie,Bobor,Magbema
Jawie,Bobor,Gelehun
Jawie,Bobor,Baiima Bobou
Jawie,Bobor,Nyanyahun
Jawie,Bobor,Baiama
Jawie,Kaio,Gandorhun
Jawie,Kaio,Yengema
Jawie,Kaio,Madina Baoma
Jawie,Kaio,Kuiva
Jawie,Kaio,Gouma
Jawie,Kaio,Nyandehun
Jawie,Lower Giebu,Motehun
Jawie,Lower Giebu,Paydema
Jawie,Lower Giebu,Jasawahun
Jawie,Lower Giebu,Yawei
Jawie,Lower Giebu,Guobu
Jawie,Lower Giebu,Nyeama
Jawie,Lower Giebu,Kpumbu
Jawie,Lower Giebu,Kpetewoma
Jawie,Lower Giebu,Nyandehun
Jawie,Lower Giebu,Kenjama
Jawie,Lower Giebu,Bonti-Wulo
Jawie,Lower Giebu,Sokebu
Jawie,Lower Giebu,Jombohun
Jawie,Lower Giebu,Libi
Jawie,Lower Giebu,Wawama
Jawie,Lower Giebu,Gbongboma
Jawie,Lower Giebu,Soniyiema
Jawie,Lower Giebu,Patama
Jawie,Lower Giebu,Boama
Jawie,Lower Giebu,Kokobu
Jawie,Lower Giebu,Giebu
Jawie,Lower Giebu,Niagorehun
Jawie,Lower Giebu,Mamabu
Jawie,Lower Giebu,Bembeyama
Jawie,Lower Giebu,Jagor
Jawie,Lower Luyengeh,Hegbema
Jawie,Lower Luyengeh,Kurankor
Jawie,Lower Luyengeh,Buiima
Jawie,Lower Luyengeh,Tenehun
Jawie,Lower Luyengeh,Giehun Tokoima
Jawie,Lower Luyengeh,Jorwema
Jawie,Lower Luyengeh,Pewama
Jawie,Lower Luyengeh,Kpendela
Jawie,Lower Luyengeh,Bandaema
Jawie,Lower Luyengeh,Boboyieya
Jawie,Mano,Kortuma
Jawie,Mano,Tomboma
Jawie,Mano,Gbajorma
Jawie,Mano,Panguma
Jawie,Mano,Manowa
Jawie,Mano,Takpoima
Jawie,Mano,Gbessebu
Jawie,Sowa,Benduma
Jawie,Sowa,Giehun
Jawie,Sowa,Nimeyeima
Jawie,Sowa,Nyandehun
Jawie,Sowa,Ngolala
Jawie,Sowa,Dambu
Jawie,Sowa,Bawola
Jawie,Sowa,Daru
Jawie,Sowa,Bombohun
Jawie,Sowa,Jagbema
Jawie,Sowa,Bombohun-Wulo
Jawie,Sowa,Sembeima
Jawie,Sowa,Tonohun
Jawie,Sowa,Tokowanja
Jawie,Sowa,Seifula
Jawie,Sowa,Fejia
Jawie,Upper Giebu,Madina
Jawie,Upper Giebu,Wilor
Jawie,Upper Giebu,Njala
Jawie,Upper Giebu,Kpubu
Jawie,Upper Giebu,Dorkogbundorma
Jawie,Upper Giebu,Tau
Jawie,Upper Giebu,Bumpeh
Jawie,Upper Giebu,Kpendema
Jawie,Upper Giebu,Albertla
Jawie,Upper Giebu,Faahun
Jawie,Upper Giebu,Gogondo
Jawie,Upper Luyengeh,Karlu
Jawie,Upper Luyengeh,Kokolu
Jawie,Upper Luyengeh,Janwulo
Jawie,Upper Luyengeh,Senjeyieya
Jawie,Upper Luyengeh,Giehun
Jawie,Upper Luyengeh,Sahn
Jawie,Upper Luyengeh,Jombohun
Jawie,Upper Luyengeh,Pellie
Jawie,Upper Luyengeh,Tobanda
Kissi Kama,Dakaleley,Kpasalo
Kissi Kama,Dakaleley,Foidu
Kissi Kama,Dakaleley,Ngehun
Kissi Kama,Dakaleley,Baimbo - Bengu
Kissi Kama,Dakaleley,Soryandu
Kissi Kama,Dakaleley,Bandama
Kissi Kama,Dakaleley,Mano
Kissi Kama,Dakaleley,Kpedembu
Kissi Kama,Dakaleley,Keledu
Kissi Kama,Dakaleley,Kudu
Kissi Kama,Dakaleley,Badu
Kissi Kama,Kama Teng,Folodu
Kissi Kama,Kama Teng,Worsonkocho
Kissi Kama,Kama Teng,Sangha
Kissi Kama,Kama Teng,Babenkuma
Kissi Kama,Kama Teng,Komende
Kissi Kama,Kama Teng,Kongorhun
Kissi Kama,Kama Teng,Konjo
Kissi Kama,Kama Teng,Njama
Kissi Kama,Kama Teng,Lorlu
Kissi Kama,Kama Teng,Dambo
Kissi Kama,Kama Teng,Yengema
Kissi Kama,Kama Teng,Yengbelahun
Kissi Kama,Kama Teng,Salabendu
Kissi Kama,Kama Teng,Torkpombu
Kissi Kama,Kama Teng,Nyandeyama
Kissi Kama,Kama Teng,Famandu
Kissi Kama,Kama Teng,Kunduma
Kissi Kama,Kama Teng,Yandandu
Kissi Kama,Kama Teng,Ndombo
Kissi Kama,Kama Toh,Kambolelay
Kissi Kama,Kama Toh,Ndambadu
Kissi Kama,Kama Toh,Sepaedu
Kissi Kama,Kama Toh,Korkoma
Kissi Kama,Kama Toh,Sakpeh
Kissi Kama,Kama Toh,Kuiyor
Kissi Kama,Kama Toh,Dia A
Kissi Kama,Kama Toh,Yendema
Kissi Kama,Kama Toh,Weima
Kissi Kama,Kama Toh,Yufundu
Kissi Kama,Kama Toh,Kondoma
Kissi Kama,Kama Toh,Lewornin
Kissi Kama,Kama Toh,Kongoma
