CHIEFDOM,SECTION,LOCALITY
Dama,Dakowa,Basara
Dama,Dakowa,Tema
Dama,Dakowa,Salina
Dama,Dakowa,Jao
Dama,Dakowa,Njaluahun
Dama,Dakowa,Giema
Dama,Dakowa,Bevehun
Dama,Dakowa,Gbojeima
Dama,Dakowa,Kpandemei
Dama,Dakowa,Patama
Dama,Dakowa,Geyima
Dama,Dakowa,Vaama
Dama,Dakowa,Ngalehun 
Dama,Dakowa,Saahun
Dama,Dakowa,Fowa
Dama,Dakowa,Tewo
Dama,Dakowa,Sembehun Jonjo
Dama,Dakowa,Kangama
Dama,Dakowa,Kombema
Dama,Danyadejo,Mano-Njeigbla
Dama,Danyadejo,Konella
Dama,Danyadejo,Gofor
Dama,Danyadejo,Gbongboma
Dama,Danyadejo,Bobama
Dama,Danyadejo,Taninahun
Dama,Danyadejo,Gbamboma
Dama,Danyadejo,Gaovuyeima
Dama,Danyadejo,Diame
Dama,Danyadejo,Guweibu
Dama,Danyadejo,Gbeworbu
Dama,Dassama,Konia 
Dama,Dassama,Kebawana
Dama,Dassama,Kangama
Dama,Dassama,Manina
Dama,Dassama,Borbu
Dama,Dassama,Majihun
Dama,Dassama,Maka
Dama,Dassama,Gandorhun
Dama,Dassama,Konjo
Dama,Dassama,Baoma
Dama,Dassama,Fulawahun
Dama,Dassama,Kortuma
Dama,Dassama,Vaama
Dama,Dassama,Massao
Dama,Dassama,Sembehun
Dama,Fowai,Tolobu 
Dama,Fowai,Korma
Dama,Fowai,Kpandebu
Dama,Fowai,Koribundo
Dama,Fowai,Benduma
Dama,Fowai,Gao
Dama,Fowai,Sembehun Sheriff
Dama,Fowai,Gama
Dama,Klajie,Gondama
Dama,Klajie,Siama
Dama,Klajie,Golahun
Dama,Klajie,Pendembu
Dama,Klajie,Lilema
Dama,Klajie,Senge
Dama,Lower Dabor,Baraka
Dama,Lower Dabor,Baoma
Dama,Lower Dabor,Loppa
Dama,Lower Dabor,Ngiehun
Dama,Lower Dabor,Komavulahun
Dama,Lower Dabor,Jayama
Dama,Lower Dabor,Yibama
Dama,Upper Dabor,Tawahun
Dama,Upper Dabor,Naiawama
Dama,Upper Dabor,Vaama
Dama,Upper Dabor,Taninahun
Dama,Upper Dabor,Tokpombu
Dama,Upper Dabor,Madina
Dodo,Bambara,Gbeika
Dodo,Bambara,Masahun
Dodo,Bambara,Jojoima
Dodo,Bambara,Songo
Dodo,Bambara,Gbonjeima
Dodo,Bambara,Gondama
Dodo,Bambara,Gbewobu
Dodo,Bambara,Bindika
Dodo,Bambara,Kpangbalia
Dodo,Bambara,Tangahun
Dodo,Bambara,Kondema
Dodo,Bambara,Lunyia
Dodo,Bambara,Kpetewoma
Dodo,Bonya,Lumbebu
Dodo,Bonya,Paelaywahun
Dodo,Bonya,Kutuma
Dodo,Bonya,Tewuyama
Dodo,Bonya,Tainbieyama
Dodo,Bonya,Dodo
Dodo,Bundoryama,Saahun
Dodo,Bundoryama,Sande-Vuahun
Dodo,Bundoryama,Niawama
Dodo,Bundoryama,Kpakuyeima
Dodo,Bundoryama,Jokibu
Dodo,Bundoryama,Gandorhun 
Dodo,Bundoryama,Taiama
Dodo,Bundoryama,Mamboima
Dodo,Bundoryama,Nguabu
Dodo,Bundoryama,Nyandehun
Dodo,Bundoryama,Kpaima
Dodo,Gorama,Kondorma
Dodo,Gorama,Lebeima
Dodo,Gorama,Woloma
Dodo,Gorama,Weima
Dodo,Gorama,Banda
Dodo,Gorama,Yorguima
Dodo,Gorama,Talia
Dodo,Karteh,Koyama Njagor
Dodo,Karteh,Pujehun
Dodo,Karteh,Majeima
Dodo,Karteh,Koyama Giema
Dodo,Karteh,Vaama Kanda
Dodo,Karteh,Bangabu
Dodo,Karteh,Jaluahun
Dodo,Karteh,Kania
Dodo,Karteh,Kanga
Dodo,Korgay,Guala
Dodo,Korgay,Sandiyaru
Dodo,Korgay,Tekuyama
Dodo,Korgay,Borbu
Dodo,Korgay,Sembehun
Dodo,Korgay,Giema
Dodo,Korgay,Salima
Dodo,Korgay,Senuia
Dodo,Korgay,Gordie
Dodo,Korgay,Giema
Dodo,Korgay,Sulayhun
Dodo,Korgay,Madina
Dodo,Korgay,Jaagor
Dodo,Korgay,Manjama
Dodo,Korgay,Golahun 
Dodo,Korgay,Lilema
Dodo,Korgay,Fabaina
Dodo,Korgay,Sembeina
Dodo,Korgay,Baoma 
Dodo,Seiwor,Vaama-Koba
Dodo,Seiwor,Faluwahun
Dodo,Seiwor,Buuma
Dodo,Seiwor,Jamboma
Dodo,Seiwor,Ndandabu
Dodo,Seiwor,Mbowohun
Dodo,Seiwor,Lawana
Dodo,Seiwor,Silema
Dodo,Seiwor,Tokpombu
Dodo,Seiwor,Macca
Dodo,Seiwor,Pegama
Gaura,Giebu,Tikonko
Gaura,Giebu,Venima
Gaura,Giebu,Gboyama
Gaura,Giebu,Gelehun
Gaura,Giebu,Koila
Gaura,Giebu,Baoma
Gaura,Giebu,Wuilor
Gaura,Giebu,Joporwahun
Gaura,Giebu,Kebawana
Gaura,Joru,Jor
Gaura,Joru,Jagor
Gaura,Joru,Magbema
Gaura,Joru,Naianyawama
Gaura,Joru,Guabu
Gaura,Joru,Jabwema
Gaura,Joru,Njala
Gaura,Kokoru,Perrie
Gaura,Kokoru,Kpuwabu 
Gaura,Kokoru,Gahun
Gaura,Kokoru,Kpatobu
Gaura,Kokoru,Kokoru
Gaura,Mendekelema,Ngieyewiema
Gaura,Mendekelema,Senehun - Sefula
Gaura,Mendekelema,Maboma
Gaura,Mendekelema,Mendekelema
Gaura,Sandaru,Sandaru
Gaura,Sandaru,Komende
Gaura,Sandaru,Konnela
Gaura,Sandaru,Gbeworbu
Gaura,Sandaru,Tolobu
Gaura,Sandaru,Nyadehun
Gaura,Sandaru,Gbowahun
Gaura,Sandaru,Upper Baoma
Gaura,Sandaru,Mano
Gaura,Sandaru,Tanima
Gaura,Sandaru,Korwubu
Gaura,Sandaru,Jorpowahun
Gaura,Sembehun,Senehun - Buima
Gaura,Sembehun,Sanola
Gaura,Sembehun,Sembehun
Gaura,Sembehun,Gbadiwulo
Gaura,Sembehun,Bo
Gaura,Sembehun,Genneh
Gaura,Sembehun,Gbahama
Gaura,Sembehun,Golala
Gaura,Sembehun,Jawivulahun
Gaura,Sembehun,Lalehun
Gorama Mende,Biatong,Pujehun
Gorama Mende,Biatong,Konima
Gorama Mende,Biatong,Saahun 
Gorama Mende,Biatong,Njorahun
Gorama Mende,Biatong,Gbangeima
Gorama Mende,Biatong,Toobu
Gorama Mende,Biatong,Helegohun
Gorama Mende,Biatong,Nyagoihun
Gorama Mende,Biatong,Gbondoma
Gorama Mende,Biatong,Gangama
Gorama Mende,Biatong,Fayeima
Gorama Mende,Biatong,Petuma
Gorama Mende,Biatong,Ngieya
Gorama Mende,Biatong,Bondayeilahun
Gorama Mende,Biatong,Taninahun
Gorama Mende,Biatong,Madina
Gorama Mende,Biatong,Dar-es-salaam
Gorama Mende,Biatong,Kpanguwama
Gorama Mende,Biatong,Sekpekeya
Gorama Mende,Biatong,Njagbahun
Gorama Mende,Biatong,Jollu
Gorama Mende,Biatong,Kawaya
Gorama Mende,Biatong,Bondorwo
Gorama Mende,Biatong,Ndorhun
Gorama Mende,Biatong,Njala
Gorama Mende,Biatong,Gbawoma
Gorama Mende,Biatong,Ngoporwahun
Gorama Mende,Biatong,Samaya
Gorama Mende,Biatong,Kenyema
Gorama Mende,Biatong,Mondema
Gorama Mende,Biatong,Vengema
Gorama Mende,Famanjo,Fomaya
Gorama Mende,Famanjo,Korvejahun
Gorama Mende,Famanjo,Punduru - Old
Gorama Mende,Famanjo,Nyawama
Gorama Mende,Famanjo,Madina
Gorama Mende,Famanjo,Bambakaima
Gorama Mende,Famanjo,Ngalehun
Gorama Mende,Famanjo,Gondama
Gorama Mende,Famanjo,Punduru - New
Gorama Mende,Famanjo,Baoma
Gorama Mende,Famanjo,Kangama
Gorama Mende,Famanjo,Ngowabu
Gorama Mende,Famanjo,Manjendu
Gorama Mende,Famanjo,Jombohun
Gorama Mende,Famanjo,Naydegdedu
Gorama Mende,Famanjo,Semewabu
Gorama Mende,Famanjo,Gorgbendehun
Gorama Mende,Famanjo,Ndambala
Gorama Mende,Famanjo,Palima
Gorama Mende,Famanjo,Madina
Gorama Mende,Famanjo,Simbaru
Gorama Mende,Famanjo,Nyahun
Gorama Mende,Famanjo,Ngowala
Gorama Mende,Famanjo,Royama
Gorama Mende,Famanjo,Gbarama
Gorama Mende,Famanjo,Levuma
Gorama Mende,Famanjo,Jokibu
Gorama Mende,Famanjo,Langrama
Gorama Mende,Famanjo,Banjma
Gorama Mende,Famanjo,Gbandama
Gorama Mende,Famanjo,Ngeibu
Gorama Mende,Kaklawa,Fulawahun
Gorama Mende,Kaklawa,Sembehun
Gorama Mende,Kaklawa,Siparu
Gorama Mende,Kaklawa,Kortuhun
Gorama Mende,Kaklawa,Kpetema
Gorama Mende,Kaklawa,Mano
Gorama Mende,Kaklawa,Kpetema
Gorama Mende,Kaklawa,Mano
