CHIEFDOM,SECTION,LOCALITY
Dembelia Sinkunia,Kunbulon I,Kukubeya I
Dembelia Sinkunia,Kunbulon I,Felomaro II
Dembelia Sinkunia,Kunbulon I,Kumiya
Dembelia Sinkunia,Kunbulon II,Koromoya II
Dembelia Sinkunia,Kunbulon II,Yawuya II
Dembelia Sinkunia,Kunbulon II,Madina II
Dembelia Sinkunia,Kunbulon II,Yalala
Dembelia Sinkunia,Kunbulon II,Koffin
Dembelia Sinkunia,Kunbulon II,N'dalaya
Dembelia Sinkunia,Numula I,Sankan
Dembelia Sinkunia,Numula I,Lengayfrin
Dembelia Sinkunia,Numula I,Furenken I
Dembelia Sinkunia,Numula I,Koromoya II
Dembelia Sinkunia,Numula I,Nyakasa
Dembelia Sinkunia,Numula II,Futaya I
Dembelia Sinkunia,Numula II,Futaya II
Dembelia Sinkunia,Numula II,Bendugu I
Dembelia Sinkunia,Numula II,Fandemodu I
Dembelia Sinkunia,Numula II,Kankare II
Dembelia Sinkunia,Numula II,Kankare II
Dembelia Sinkunia,Numula III,Kumba Musaia
Dembelia Sinkunia,Numula III,Tamalan II
Dembelia Sinkunia,Numula IV,Marlonkoh
Dembelia Sinkunia,Numula V,Bandoya
Dembelia Sinkunia,Numula V,Feneneh
Dembelia Sinkunia,Numula V,Manan Affia
Dembelia Sinkunia,Numula V,Affia Worreh
Dembelia Sinkunia,Numula V,Timbo Keya
Dembelia Sinkunia,Numula V,Wawala Kuday Worreh
Dembelia Sinkunia,Numula V,Bilimaya
Dembelia Sinkunia,Numula V,Foren Kuday
Dembelia Sinkunia,Manan,Talaia
Dembelia Sinkunia,Manan,Bangaia
Dembelia Sinkunia,Manan,Yidia
Dembelia Sinkunia,Manan,Tamala
Dembelia Sinkunia,Manan,Sogoria
Dembelia Sinkunia,Manan,Seriya II
Dembelia Sinkunia,Manan,Dabokeya
Dembelia Sinkunia,Manan,Manankon
Dembelia Sinkunia,Manan,Kankofodaia
Dembelia Sinkunia,Manan,Tamigeya I
Dembelia Sinkunia,Manan,Mabeli
Dembelia Sinkunia,Manan,Kidibum Wusuya
Dembelia Sinkunia,Manan,Fatafin Masokuna
Dembelia Sinkunia,Manan,Soroton Fotor I
Dembelia Sinkunia,Sinkunia,Gbindi IV
Dembelia Sinkunia,Sinkunia,Sinkunia (Sansun Kollia)
Dembelia Sinkunia,Sinkunia,Messeria
Dembelia Sinkunia,Sinkunia,Momi
Dembelia Sinkunia,Sinkunia,Masindi
Dembelia Sinkunia,Sinkunia,Wulubum
Dembelia Sinkunia,Sinkunia,Kombo Tengie
Dembelia Sinkunia,Sinkunia,Kibakoriya I
Dembelia Sinkunia,Sinkunia,Kaworson
Dembelia Sinkunia,Sinkunia,Bantatia
Dembelia Sinkunia,Sinkunia,Samba Kuday
Dembelia Sinkunia,Sinkunia,Senegalie
Dembelia Sinkunia,Sinkunia,Soyadie
Dembelia Sinkunia,Sinkunia,Lisan
Dembelia Sinkunia,Sinkunia,Kuku Kuday
Dembelia Sinkunia,Sinkunia,Bangaloya
Dembelia Sinkunia,Sinkunia,Mesesoria I
Dembelia Sinkunia,Sinkunia,Mesesoria II
Dembelia Sinkunia,Mawundea,Koromadugu
Dembelia Sinkunia,Mawundea,Balongo I
Dembelia Sinkunia,Mawundea,Balongo II
Dembelia Sinkunia,Mawundea,Lembebum Yeliba II
Dembelia Sinkunia,Mawundea,Soriya
Dembelia Sinkunia,Mawundea,Bumumkoro
Dembelia Sinkunia,Mawundea,Lulu Quator
Dembelia Sinkunia,Mawundea,Fulamansa II
Dembelia Sinkunia,Mawundea,Felomaro II
Dembelia Sinkunia,Mawundea,Lereya
Dembelia Sinkunia,Mawundea,Sangarireh
Dembelia Sinkunia,Mawundea,Kumudagie I
Dembelia Sinkunia,Mawundea,Songanya
Diang,Kondembaia,Bendukoro
Diang,Kondembaia,Madina
Diang,Kondembaia,Kondeya
Diang,Kondembaia,Kamakodeh
Diang,Kondembaia,Kamayinkilie
Diang,Kondembaia,Diang Fogo
Diang,Kondembaia,Kamaweiwei
Diang,Kondembaia,Kugbania
Diang,Kondembaia,Sandia
Diang,Kondembaia,Fonima
Diang,Kondembaia,Kondembaia
Diang,Sokurala,Diang  Sokurala
Diang,Sokurala,Morukomgaia
Diang,Sokurala,Koromontor I
Diang,Sokurala,Badala
Diang,Sokurala,Yissaia
Diang,Sokurala,Nerekoror
Diang,Sokurala,Kensekoro
Diang,Sokurala,Kamaror
Diang,Sokurala,Dondoya
Diang,Darakuru,Foria
Diang,Darakuru,Solia
Diang,Darakuru,Darakuru
Diang,Darakuru,Kanakediama
Diang,Darakuru,Nyawulia
Diang,Darakuru,Komonkalia
Diang,Kania,Kania
Diang,Kania,Masamandugu
Diang,Kania,Woroworia
Diang,Kania,Wayia
Diang,Kania,Senkeray
Diang,Kania,Gbongbonto
Diang,Lengekoro,Lengekoro
Diang,Lengekoro,Kamajimbo
Diang,Lengekoro,Gbogoroma
Diang,Gbenekoro,Yiben
Diang,Gbenekoro,Yarah
Diang,Gbenekoro,Segbeya
Diang,Gbenekoro,Makoani
Diang,Gbenekoro,Bekorkor
Diang,Gbenekoro,Gbenekoro
Diang,Gbenekoro,Fogo
Diang,Gbenekoro,Diangwunkulu
Diang,Gbenekoro,Herekor
Diang,Gbenekoro,Dankan
Diang,Gbenekoro,Gbombali
Folosaba Dembelia,Kalia,Gobu
Folosaba Dembelia,Kalia,Selie I
Folosaba Dembelia,Kalia,Kamadan I
Folosaba Dembelia,Kalia,Kamadan II
Folosaba Dembelia,Kalia,Centimaniya II
Folosaba Dembelia,Kalia,Wassa I
Folosaba Dembelia,Kalia,Wassa II
Folosaba Dembelia,Kalia,Kalia
Folosaba Dembelia,Kalia,Yolaia
Folosaba Dembelia,Kalia,Sungbaya
Folosaba Dembelia,Kalia,Thakuday
Folosaba Dembelia,Fissaya I,Teprepule
Folosaba Dembelia,Fissaya I,Bantahun
Folosaba Dembelia,Fissaya I,Koros
Folosaba Dembelia,Fissaya I,Kaladufe
Folosaba Dembelia,Fissaya I,Kumai
Folosaba Dembelia,Fissaya I,Lansenkoh
Folosaba Dembelia,Fissaya I,Serekude I
Folosaba Dembelia,Fissaya I,Cherenoya
Folosaba Dembelia,Fissaya I,Debelia
Folosaba Dembelia,Fissaya I,Dufe
Folosaba Dembelia,Fissaya II,Petewoh
Folosaba Dembelia,Fissaya II,Jalobaya
Folosaba Dembelia,Fissaya II,Sorigeya
Folosaba Dembelia,Fissaya II,Bombukoro
Folosaba Dembelia,Fissaya II,Jorgor-Fissaya
Folosaba Dembelia,Fissaya II,Fissaya II
Folosaba Dembelia,Fissaya II,Wambaya
Folosaba Dembelia,Fissaya II,Ganya
Folosaba Dembelia,Gbentu III,Duguwulay
Folosaba Dembelia,Gbentu III,Balanga I
Folosaba Dembelia,Gbentu III,Balanga II
Folosaba Dembelia,Gbentu III,Jenke-fanila
Folosaba Dembelia,Gbentu III,Grankeila
Folosaba Dembelia,Gbentu III,Gbentu II
Folosaba Dembelia,Gbentu III,Wassa
Folosaba Dembelia,Gbentu III,Numuma II
Folosaba Dembelia,Gbentu III,Komadankude
Folosaba Dembelia,Sankan I,Tasin Worreh
Folosaba Dembelia,Sankan I,Jallohya
Folosaba Dembelia,Sankan I,Saria
Folosaba Dembelia,Sankan I,Hamdalai
Folosaba Dembelia,Sankan I,Sorbehyia
Folosaba Dembelia,Sankan II,Tansil II
Folosaba Dembelia,Sankan II,Numuma II
Folosaba Dembelia,Sankan II,Yanga I
Folosaba Dembelia,Sankan II,Sokormaya
Folosaba Dembelia,Sankan II,Malanga
Folosaba Dembelia,Sankan II,Kamanday
Folosaba Dembelia,Sankan II,Gbengben Lenteh
Folosaba Dembelia,Sankan II,Kashanga
Folosaba Dembelia,Kamba,Kamba
Folosaba Dembelia,Kamba,Yenkisa I
Folosaba Dembelia,Kamba,Yenkisa II
Folosaba Dembelia,Kamba,Malonkor
Folosaba Dembelia,Kamba,Kankaya
Folosaba Dembelia,Kamba,Malanga
Folosaba Dembelia,Kamba,Mamudia
Folosaba Dembelia,Kamba,Tangaya
Folosaba Dembelia,Lagor,Lagor
Folosaba Dembelia,Lagor,Kimanga
Folosaba Dembelia,Lagor,Biroya
Folosaba Dembelia,Lagor,Horefelor
Folosaba Dembelia,Lagor,Taowuya
Folosaba Dembelia,Lagor,Boatunteleh
Folosaba Dembelia,Musaia,Musaia
Folosaba Dembelia,Musaia,Kapendiyorkor
Folosaba Dembelia,Musaia,Hurgur
Folosaba Dembelia,Musaia,Sanaya
Folosaba Dembelia,Musaia,Malinkor
Folosaba Dembelia,Musaia,Konkowalia
Folosaba Dembelia,Musaia,Amoduya
Folosaba Dembelia,Musaia,Funguna
Folosaba Dembelia,Musaia,Ballaya
Folosaba Dembelia,Musaia,Sorron
Folosaba Dembelia,Musaia,Madogbo II
Folosaba Dembelia,Musaia,Kasotor
Folosaba Dembelia,Musaia,Kidibu
Folosaba Dembelia,Musaia,Talaya
Folosaba Dembelia,Dogoloya,Dogoloya
Folosaba Dembelia,Dogoloya,Kanuya
Folosaba Dembelia,Dogoloya,Selafe
Folosaba Dembelia,Dogoloya,Kulumbaya
Folosaba Dembelia,Dogoloya,Madina I
Folosaba Dembelia,Balandugu,Kromasila
Folosaba Dembelia,Balandugu,Fasineya
Folosaba Dembelia,Herekor,Sorongbay
Folosaba Dembelia,Herekor,Sarakasa
Folosaba Dembelia,Herekor,Sayoya
Folosaba Dembelia,Herekor,Kidibun
Folosaba Dembelia,Herekor,Dennebalu
Folosaba Dembelia,Herekor,Karimuya
Folosaba Dembelia,Herekor,Ansumanaya
Folosaba Dembelia,Herekor,Malanga
Folosaba Dembelia,Herekor,Dannemogor
Folosaba Dembelia,Herekor,Baiyoroya
Kasunko,Gbonkobor,Kayainkay
Kasunko,Gbonkobor,Kabakeh
Kasunko,Gbonkobor,Kakothuhun
Kasunko,Gbonkobor,Kanjon
Kasunko,Gbonkobor,Kamadi (Kasasi)
Kasunko,Gbonkobor,Kasasi
Kasunko,Gbonkobor,Kafa
Kasunko,Gbonkobor,Madina
Kasunko,Gbonkobor,Kakimaboi
Kasunko,Gbonkobor,Kacompound
Kasunko,Gbonkobor,Kawa III (Kasasi)
Kasunko,Gbonkobor,Kamagbo (Kasasi)
Kasunko,Gbonkobor,Osman Jalloh Worreh
Kasunko,Gbonkobor,Kama II
Kasunko,Gbonkobor,Kamasende (Kamasapi)
Kasunko,Gbonkobor,Kayeleh
Kasunko,Gbonkobor,Kamasehe
Kasunko,Tamiso II,Kamagbuthie
Kasunko,Tamiso II,Kaboh
Kasunko,Tamiso II,Kangathorthor
Kasunko,Tamiso II,Kahatha
Kasunko,Tamiso II,Kasogoya
Kasunko,Tamiso II,Kamathantha
Kasunko,Tamiso II,Maraya
Kasunko,Tamiso II,Kahankray
Kasunko,Tamiso II,Kagbeden
Kasunko,Tamiso II,Kadala
Kasunko,Tamiso II,Kafangama
Kasunko,Tamiso II,Kamapansa
Kasunko,Tamiso II,Kasangban
Kasunko,Tamiso II,Kanonko
Kasunko,Tamiso I,Kamayortortor
Kasunko,Tamiso I,Mongoworrehdala
Kasunko,Tamiso I,Kamagbungi
Kasunko,Tamiso I,Kamasonkeh
Kasunko,Tamiso I,Kamabore (Kagbane)
Kasunko,Tamiso I,Babakalia
Kasunko,Tamiso I,Fadugu
Kasunko,Kayaka,Kasaroko
Kasunko,Kayaka,Kasaynie
Kasunko,Kayaka,Kakarima
Kasunko,Kayaka,Kabonka (Kafa)
Kasunko,Kayaka,Kamayenku
Kasunko,Kayaka,Kathantha
Kasunko,Kayaka,Kamakomeh
Kasunko,Kakallain,Kamakwie
Kasunko,Kakallain,Kamakalanka
Kasunko,Kakallain,Kamasori
Kasunko,Kakallain,Kasinpoh
Kasunko,Kakallain,Kamakaythihe
Kasunko,Kakallain,Kamasenka
Kasunko,Kakallain,Kamange
Kasunko,Kakallain,Karmakonta II
Kasunko,Kakallain,Kakuthuhu I
Kasunko,Kakallain,Kamakonta I
Kasunko,Kakallain,Kalumbay
Kasunko,Kakallain,Makamaya
Kasunko,Kakallain,Kamagben Kebe
Kasunko,Kakallain,Kasasi
Kasunko,Kasunko,Kanderena
Kasunko,Kasunko,Kasangbaba
Kasunko,Kasunko,Kamabinkie
Kasunko,Kasunko,Worrehdala
Kasunko,Kasunko,Tonkoya
Kasunko,Kasunko,Kafogo
Kasunko,Kasunko,Fadugu
Kasunko,Kasunko,Katadungbu
Kasunko,Kasunko,Kamadoneh
Kasunko,Kasunko,Heremakonor
Kasunko,Kasunko,Madina
Kasunko,Kasunko,Kamasahe II
Kasunko,Kasunko,Kamayoryon
Kasunko,Kasunko,Kapeteh
Kasunko,Kasunko,Kabuiya
Kasunko,Kasunko,Kadansu (Kanu)
Kasunko,Kasunko,Kakanu
Kasunko,Kasunko,Kawere
Kasunko,Tamiso I,Mongosaliful
Kasunko,Tamiso I,Kamasama
Kasunko,Tamiso I,Kamatunen
Kasunko,Tamiso I,Kasankori
Kasunko,Tamiso I,Kaponton
Kasunko,Tamiso I,Kamatanta
Kasunko,Tamiso I,Kamabama
Kasunko,Tamiso I,Kamabondeh (Madina)
Kasunko,Tamiso I,Kamakondi
Kasunko,Tamiso I,Karasa
Kasunko,Tamiso I,Kabolomie
Kasunko,Tamiso I,Kamba
Kasunko,Tamiso I,Kamakorokpa
Kasunko,Tamiso I,Gbonkobon
Kasunko,Tamiso I,Kasoutana
Mongo,Mongo II,Bokaria
Mongo,Mongo II,Sathan/Modia
Mongo,Mongo II,Teremafeh
Mongo,Mongo II,Kansa-Balia
Mongo,Mongo II,Belforia
Mongo,Mongo II,Walia 
Mongo,Mongo II,Boal Karifaia 
Mongo,Morifindugu,Kombile
Mongo,Morifindugu,Shekuia
Mongo,Morifindugu,Bila - Tambaia
Mongo,Morifindugu,Tumania
Mongo,Morifindugu,Serekola Town 
Mongo,Morifindugu,Sinekoro
Mongo,Morifindugu,Mosque
Mongo,Morifindugu,Yenikonko
Mongo,Morifindugu,Benikoro
Mongo,Morifindugu,Gberifeh
Mongo,Morifindugu,Farama
Mongo,Morifindugu,Samisedu
Mongo,Morifindugu,Tuba
Mongo,Morifindugu,Namaia
Mongo,Morifindugu,Sangban-Balia
Mongo,Morifindugu,Sandakoro
Mongo,Morifindugu,Kumbalansinia
Mongo,Mongo I,Gbongbondoh
Mongo,Mongo I,Bendugu Town
Mongo,Mongo I,Walgbasakor
Mongo,Mongo I,Danyhoroh
Mongo,Mongo I,Dakokalia
Mongo,Mongo I,Sokurala
Mongo,Mongo I,Kaliyere
Mongo,Mongo I,Seria Town
Mongo,Mongo I,Karawani
Mongo,Mongo I,Herekofeh
Mongo,Mongo I,Denkelto
Mongo,Mongo I,Saioya
Mongo,Mongo I,Bafilabeh
Mongo,Mongo I,Siraninkoroh
Mongo,Mongo I,Lensenia
Mongo,Mongo I,Serafaia
Mongo,Mongo I,Nyeldu
Mongo,Mongo I,Mansoya
Mongo,Mongo I,Koromandoh
Mongo,Mongo I,Heremakono
Mongo,Deldugu,Kirimendu
Mongo,Deldugu,Morigbaia II
Mongo,Deldugu,Sankoria
Mongo,Deldugu,Lamfuyaia
Mongo,Deldugu,Farama
Mongo,Deldugu,Masadukoro
Mongo,Deldugu,Donkoria
Mongo,Deldugu,Gbirimba
Mongo,Deldugu,Dandafara
Mongo,Deldugu,Warigbagba
Mongo,Deldugu,Samendu
Mongo,Deldugu,Yiffin-Mambouria
Mongo,Deldugu,Sangsangbala
Mongo,Deldugu,Munyeforia
Mongo,Deldugu,Kulakoya
Mongo,Deldugu,Nyandankolia
Mongo,Deldugu,Kolate
Mongo,Deldugu,Mamburia
Mongo,Deldugu,Tinkor
Mongo,Benadugu,Karefaia
Mongo,Benadugu,Mado -Foria
Mongo,Benadugu,Fayiya
Mongo,Benadugu,Tambaia -Balia
Mongo,Benadugu,Shekuia
Mongo,Benadugu,Finabania
Mongo,Benadugu,Kondea
Mongo,Mankalia,Sayo-Kelfaya
Mongo,Mankalia,Lansanabalia
Mongo,Mankalia,Bendukura
Mongo,Mankalia,Farawaro
Mongo,Mankalia,Sakosaria
Mongo,Mankalia,Marimaia
Mongo,Mankalia,Morubordu
Mongo,Mankalia,Kiridu
Mongo,Mankalia,Fankaia
Mongo,Mankalia,Fargbanfeh
Mongo,Mankalia,Sokorola
Mongo,Mankalia,Foria
Neya,Neya II,Fangania
Neya,Neya II,Shekuya
Neya,Neya II,Bunbanya
Neya,Neya II,Yiria
Neya,Neya II,Marilia 
Neya,Neya II,Baliya
Neya,Neya II,Niriyifeh
Neya,Neya II,Sulukuya
Neya,Neya II,Popor 
Neya,Neya II,Daboroma
Neya,Neya II,Balia
Neya,Neya II,Gbangbaia
Neya,Neya II,Lungefeh
Neya,Neya II,Bafelabay
Neya,Neya II,Baburo
Neya,Neya II,Kagboia
