CHIEFDOM,SECTION,LOCALITY
Fiama,Dumbia,Yekior
Fiama,Dumbia,Yendu
Fiama,Dumbia,Tombu
Fiama,Dumbia,Medu
Fiama,Dumbia,Pakidu
Fiama,Dumbia,Sengema
Fiama,Dumbia,Sukudu
Fiama,Dumbia,Kaimbadu
Fiama,Dumbia,Baidu
Fiama,Dumbia,Paima
Fiama,Dumbia,Fiawoh
Fiama,Fiama,Yandohun
Fiama,Fiama,Yeamor
Fiama,Fiama,Taryando
Fiama,Fiama,Sagbandor
Fiama,Fiama,Sendokor
Fiama,Fiama,Baoma
Fiama,Fiama,Koakor
Fiama,Fiama,Sawui
Fiama,Fiama,Njardu
Fiama,Fiama,Gbekor
Fiama,Fiama,Jagbwema 
Fiama,Fiama,Kunduma
Fiama,Fiama,Tongoma
Fiama,Fiama,London
Fiama,Fiama,Yigbeda
Fiama,Fiama,Sawakor
Fiama,Fiama,Bardu
Fiama,Fiama,Patama
Fiama,Fiama,Dawadu
Fiama,Fiama,Tuiyor
Fiama,Fiama,Gbekedu
Fiama,Kokar,Sembehun
Fiama,Kokar,Didema
Fiama,Kokar,Yambama
Fiama,Kokar,Wuakor
Fiama,Kokar,Porpoma
Fiama,Kokar,Gbetema
Fiama,Kokar,Papuima
Fiama,Kokar,Faoh
Fiama,Kokar,Bosadu
Fiama,Kokar,Chendedu
Fiama,Kokar,Tansankoro
Fiama,Kooma,Taama
Fiama,Kooma,Ponekor
Fiama,Kooma,Tour
Fiama,Kooma,Gbakior I
Fiama,Kooma,Kondor
Fiama,Kooma,Toodu
Fiama,Kooma,Gbematambadu
Fiama,Kooma,Makombo
Fiama,Kooma,Musaia
Fiama,Kooma,Bandasuma
Fiama,Kooma,Tansankoro
Fiama,Kooma,Marrko
Fiama,Kooma,Dakadu
Fiama,Kooma,Toowah
Fiama,Kooma,Gbanfawoh
Fiama,Kooma,Gbangbawoh
Fiama,Yorkor,Gbensedu
Fiama,Yorkor,Moigbedu
Fiama,Yorkor,Fada
Fiama,Yorkor,Yatatandu
Fiama,Yorkor,Meiyor
Fiama,Yorkor,Koadiamaya
Fiama,Yorkor,Njagbudu
Fiama,Yorkor,Bombodu
Fiama,Yorkor,Wusikongor
Fiama,Yorkor,Kasadu
Gbane,Gbane - Yemao,Bendu
Gbane,Gbane - Yemao,Ngiehun
Gbane,Gbane - Yemao,Kuyadu
Gbane,Gbane - Yemao,Yituma
Gbane,Gbane - Yemao,Sumbaidu
Gbane,Gbane - Yemao,Kpawundu
Gbane,Gbane - Yemao,Foakor
Gbane,Gbane - Yemao,Kangahun
Gbane,Gbikidakor,Jombohun
Gbane,Gbikidakor,Ngombu Kelema
Gbane,Gbikidakor,Kuidu
Gbane,Gbikidakor,Kongowakor
Gbane,Gbikidakor,Ngiehun
Gbane,Gbikidakor,Bendu
Gbane,Gbikidakor,Sidu
Gbane,Gbikidakor,Kaikombada
Gbane,Gbikidakor,Gangodu
Gbane,Gbikidakor,Papoima
Gbane,Gbikidakor,Korsondu
Gbane,Gbikidakor,Sawakor
Gbane,Gbikidakor,Sawula
Gbane,Gbikidakor,Kanekor
Gbane,Gbikidakor,Komende
Gbane,Gbikidakor,Singeko
Gbane,Kamara,Waiiya
Gbane,Kamara,Bondema
Gbane,Kamara,Old Gendema
Gbane,Kamara,Bongema
Gbane,Kamara,Sunga
Gbane,Kamara,Vaama I
Gbane,Kamara,Tugbekor
Gbane,Kamara,Mabema
Gbane,Kamara,Wondema
Gbane,Kamara,Jene
Gbane,Kamara,Kangama
Gbane,Kamara,Kambadu
Gbane,Kamara,Bendu
Gbane,Kamara,Kamboma I
Gbane,Kamara,yamandu
Gbane,Kamara,Kamadu
Gbane,Maikandor,Eakeyor Mayife
Gbane,Maikandor,Moyamba
Gbane,Maikandor,Beyima
Gbane,Maikandor,Kangordu
Gbane,Maikandor,Bumpe
Gbane,Maikandor,Koundor
Gbane,Maikandor,Tiando
Gbane,Mongo,Mandu
Gbane,Mongo,Tekuyama
Gbane,Mongo,Teyama
Gbane,Mongo,Bendu
Gbane,Mongo,Mano
Gbane,Mongo,Fanima
Gbane,Mongo,Kotuma
Gbane,Mongo,Woryor
Gbane,Mongo,Bendu
Gbane,Mongo,Nyandehun
Gbane,Mongo,Senehun
Gbane,Mongo,Blama
Gbane,Mongo,Njala
Gbane,Mongo,Bandama
Gbane,Mongo,Kpadekpodu
Gbane,Mongo,Bagbema
Gbane,Mongo,Koinwadu
Gbane,Mongo,Kpadema
Gbane,Mongo,Konosu
Gbane,Mongo,Bendu
Gbane,Mongo,Debeya
Gbane,Mongo,Fonima
Gbane,Mongo,Kpaima
Gbane,Mongo,Bandama
Gbane,Mongo,Largo
Gbane,Mongo,Waiwakor
Gbane,Mongo,Woroma
Gbane,Mongo,Teya I
Gbane,Mongo,Gandohun 
Gbane,Mongo,Nyokovulahun
Gbane,Mongo,Ngaiya
Gbane,Mongo,Turay Town
Gbane,Mongo,Sowadu
Gbane,Mongo,Patema
Gbane,Mongo,Kpetema
Gbane,Mongo,Koidu I
Gbane,Mongo,Levuma
Gbane,Mongo,Kondima
Gbane,Mongo,Bonday
Gbane,Mongo,Foakongor
Gbane,Mongo,Yibema
Gbane,Mongo,Kpendema
Gbane,Mongo,Telema
Gbane,Mongo,Bumpe
Gbane,Mongo,Vaama
Gbane,Mongo,Pidu
Gbane,Mongo,Tombodu
Gbane,Mongo,Yibendor
Gbane,Mongo,Beedu
Gbane,Mongo,Bangama
Gbane,Mongo,Fembedu
Gbane Kandor,Gbane Kandor,Boidu
Gbane Kandor,Gbane Kandor,Woakor
Gbane Kandor,Gbane Kandor,Bandadu
Gbane Kandor,Gbane Kandor,Nyandu
Gbane Kandor,Gbane Kandor,Kongorwakor
Gbane Kandor,Gbane Kandor,Sindadu
Gbane Kandor,Gbane Kandor,Yanfaqueya
Gbane Kandor,Gbane Kandor,Bandakor
Gbane Kandor,Gbane Kandor,Dengema
Gbane Kandor,Gbane Kandor,Dunamor
Gbane Kandor,Gbane Kandor,Kangama
Gbane Kandor,Gbane Kandor,Koingidu
Gbane Kandor,Gbane Kandor,Sufidu
Gbane Kandor,Gbane Kandor,Gbamandu
Gbane Kandor,Gbane Kandor,Maakor
Gbane Kandor,Gbane Kandor,Faandah
Gbane Kandor,Gbane Kgur,Bendu
Gbane Kandor,Gbane Kgur,Sardu
Gbane Kandor,Gbane Kgur,Puidu
Gbane Kandor,Gbane Kgur,Yibema
Gbane Kandor,Gbane Tetema,Ndambadu
Gbane Kandor,Gbane Tetema,Boakoma
Gbane Kandor,Gbane Tetema,Manoh
Gbane Kandor,Gbane Tetema,Koardu
Gbane Kandor,Gbane Tetema,Gbaidu
Gbane Kandor,Gbane Tetema,Gbaikor
Gbane Kandor,Gbendekor,Kpekoro
Gbane Kandor,Gbendekor,Nongowa I
Gbane Kandor,Yanbidu,Kunteh
Gbane Kandor,Yanbidu,Gbandu
Gbane Kandor,Yanbidu,Yabema
Gbane Kandor,Yanbidu,Gbakodu
Gbense,Banfinfeh,Koakor
Gbense,Banfinfeh,Kangaama
Gbense,Banfinfeh,Fuidu
Gbense,Banfinfeh,Kasikoryah
Gbense,Banfinfeh,Kpangadu I
Gbense,Banfinfeh,Konandor
Gbense,Banfinfeh,Nyamoyima
Gbense,Banfinfeh,Dunamaor
Gbense,Banfinfeh,Waidu
Gbense,Banfinfeh,Tayandu
Gbense,Banfinfeh,Fuero
Gbense,Banfinfeh,Bardu
Gbense,Banfinfeh,Sayafindu
Gbense,Banyafeh,Bayama
Gbense,Banyafeh,Heremakono
Gbense,Banyafeh,Gbukuma
Gbense,Banyafeh,Kagbadu
Gbense,Banyafeh,Kamayandor
Gbense,Banyafeh,Foindu
Gbense,Banyafeh,Kwidadu
Gbense,Banyafeh,Bikondu
Gbense,Banyafeh,Sembedu
Gbense,Banyafeh,Komandor
Gbense,Banyafeh,Yigbeda
Gbense,Banyafeh,Tefeya
Gbense,Banyafeh,Dandandor
Gbense,Banyafeh,Dakafeh
Gbense,Banyafeh,Borma
Gbense,Banyakor,Seidu
Gbense,Banyakor,Kamadu Yawandor
Gbense,Banyakor,Bendu
Gbense,Banyakor,Chainedu
Gbense,Banyakor,Faada
Gbense,Banyakor,Yafandu
Gbense,Banyakor,Motema
Gbense,Banyakor,Baoma
Gbense,Banyakor,Kainkudu
Gbense,Banyakor,Kaindedu
Gbense,Banyakor,Kombaya
Gbense,Banyakor,Titambaya I
Gbense,Banyakor,Gbandakadu
Gbense,Moindefeh,Kamandu
Gbense,Moindefeh,Foadu
Gbense,Moindefeh,Dorma
Gbense,Moindefeh,Gbamandu
Gbense,Moindefeh,Farandu
Gbense,Moindefeh,Masundu
Gbense,Moindefeh,Yibendor
Gbense,Moindefeh,Kongorteh
Gbense,Moindefeh,Simbakoro
Gbense,Moindefeh,Morsadu
Gbense,Moindefeh,Seidu
Gbense,Moindefeh,Moegbedu
Gbense,Moindefeh,Wondelu
Gbense,Moindefeh,Kaidu
Gbense,Moindefeh,Boroma
Gbense,Moindefeh,Bengurina
Gbense,Moindekor,Tansagbaya
Gbense,Moindekor,Waiyor
Gbense,Moindekor,Koiduwor
Gbense,Moindekor,Levuma
Gbense,Moindekor,Yardu
Gbense,Moindekor,Old Penduma
Gbense,Moindekor,Kania
Gbense,Moindekor,Old Sefadu 
Gorama Kono,Bunabu,Motema
Gorama Kono,Bunabu,Kpenguma
Gorama Kono,Bunabu,Kpetema
Gorama Kono,Bunabu,Bunabu
Gorama Kono,Bunabu,Lungi I
Gorama Kono,Bunabu,Yomboia
Gorama Kono,Bunabu,Kabema
