CHIEFDOM,SECTION,LOCALITY
Bagruwa,Benduma,Komende-Masagbengeh
Bagruwa,Benduma,Jorbohun
Bagruwa,Benduma,Momengie
Bagruwa,Benduma,Kassama
Bagruwa,Benduma,Kpetewoma - Barbah
Bagruwa,Benduma,Gbongeh
Bagruwa,Benduma,Njala
Bagruwa,Benduma,Ngiyebu
Bagruwa,Benduma,Mattru - Bonie
Bagruwa,Benduma,Nyandehun- Taogbassa
Bagruwa,Benduma,Benduma I
Bagruwa,Benduma,Benduma II
Bagruwa,Benduma,Gambia
Bagruwa,Benduma,Kangahun
Bagruwa,Benduma,Bassar
Bagruwa,Benduma,Motasso
Bagruwa,Benduma,Fulla - Town
Bagruwa,Benduma,Kpandebu
Bagruwa,Benkeh,Mokambebom
Bagruwa,Benkeh,Movao
Bagruwa,Benkeh,Tokpombu
Bagruwa,Benkeh,Mokehen
Bagruwa,Benkeh,Fonkia
Bagruwa,Benkeh,Bomdale
Bagruwa,Benkeh,Talla
Bagruwa,Benkeh,Mokuebom
Bagruwa,Benkeh,Tasso
Bagruwa,Benkeh,Mogbo
Bagruwa,Benkeh,Gibina
Bagruwa,Benkeh,Yorkeh
Bagruwa,Benkeh,Mokewo
Bagruwa,Benkeh,Benkeh
Bagruwa,Benkeh,Gendema
Bagruwa,Benkeh,Mosako
Bagruwa,Benkeh,Moplatali
Bagruwa,Benkeh,Gbamusu
Bagruwa,Benkeh,Gangama
Bagruwa,Benkeh,Mogbeneh
Bagruwa,Benkeh,Nyandehun Kpanabuna
Bagruwa,Benkeh,Mobonda
Bagruwa,Benkeh,Mokombo
Bagruwa,Benkeh,Mai
Bagruwa,Benkeh,Yele
Bagruwa,Benkeh,Kpakpati
Bagruwa,Benkeh,Kebawana
Bagruwa,Benkeh,Sorbengie
Bagruwa,Benkeh,Mobeabao
Bagruwa,Benkeh,Molango
Bagruwa,Benkeh,Weifakai
Bagruwa,Benkeh,Centelo Timdale
Bagruwa,Kawaya,Semabu
Bagruwa,Kawaya,Fomaya
Bagruwa,Kawaya,Kawaya
Bagruwa,Kawaya,Pujuhun
Bagruwa,Kawaya,Bambwbu
Bagruwa,Kawaya,Gbangbama
Bagruwa,Kigbai,Mogbessay
Bagruwa,Kigbai,Molani
Bagruwa,Kigbai,Kailahun
Bagruwa,Kigbai,Mokpanakia
Bagruwa,Kigbai,Siggi
Bagruwa,Kigbai,Torhen
Bagruwa,Kigbai,Molagah
Bagruwa,Kigbai,Lippala
Bagruwa,Kigbai,Mogombo
Bagruwa,Kigbai,Moseibua
Bagruwa,Kigbai,Mondema
Bagruwa,Kigbai,Mogegbe
Bagruwa,Kigbai,Molansana
Bagruwa,Kigbai,Mattru Bangay
Bagruwa,Kigbai,Kigbai
Bagruwa,Kigbai,Mokpete
Bagruwa,Kigbai,Mobonie
Bagruwa,Mani,Gerehun
Bagruwa,Mani,Moshenge
Bagruwa,Mani,Koponbu
Bagruwa,Mani,Vaama
Bagruwa,Mani,Taiamawo
Bagruwa,Mani,Mosagor I
Bagruwa,Mani,Mosagor II
Bagruwa,Mani,Gbappi I
Bagruwa,Mani,Mokombara
Bagruwa,Mani,Kanghun
Bagruwa,Mani,Gbamusu
Bagruwa,Mani,Mokebbie Tatima
Bagruwa,Mani,Molango
Bagruwa,Mani,Moyambawo
Bagruwa,Mani,Kpandebu
Bagruwa,Mani,Gumahun
Bagruwa,Mani,Yanihun
Bagruwa,Mani,Mokagbanda
Bagruwa,Mani,Levuma
Bagruwa,Mani,Mani
Bagruwa,Mani,Mokugbe
Bagruwa,Mokassi,Mojanor
Bagruwa,Mokassi,Ngogbebu
Bagruwa,Mokassi,Ndema
Bagruwa,Mokassi,Njala
Bagruwa,Mokassi,Nyangoihun
Bagruwa,Mokassi,Nyandehun - Gbanja
Bagruwa,Mokassi,Nyamaina
Bagruwa,Mokassi,Mokassi
Bagruwa,Mokassi,Gbangbama
Bagruwa,Mokassi,Loponga
Bagruwa,Mokassi,Jewenga
Bagruwa,Mokassi,Koyama
Bagruwa,Mokassi,Bongama
Bagruwa,Mokassi,Vaama
Bagruwa,Mokassi,Petibu
Bagruwa,Mokassi,Macca
Bagruwa,Mokassi,Sembehunwo-Koniwa
Bagruwa,Mokassi,Nyandehun-Sowuguti
Bagruwa,Mokassi,Kpanguma
Bagruwa,Mokassi,Mokpange
Bagruwa,Moseilolo,Mosenegor
Bagruwa,Moseilolo,Health Centre
Bagruwa,Moseilolo,Mokebbie
Bagruwa,Moseilolo,Mokango
Bagruwa,Moseilolo,Gbandabi (Mosenegor)
Bagruwa,Moseilolo,Moseilolo
Bagruwa,Moseilolo,Nyandehun
Bagruwa,Moseilolo,Talia
Bagruwa,Moseilolo,Mokombo
Bagruwa,Palima,Palima
Bagruwa,Palima,Moyombo
Bagruwa,Palima,Mokineyomboh
Bagruwa,Palima,Patefu
Bagruwa,Palima,Momanna
Bagruwa,Palima,Konda Kapuima
Bagruwa,Palima,Nyandehun Sankoh
Bagruwa,Palima,Mosalla
Bagruwa,Palima,Mojombui
Bagruwa,Palima,Mojoka
Bagruwa,Sembehun,Ngolala Junction
Bagruwa,Sembehun,Kamatipa
Bagruwa,Sembehun,Taninahun
Bagruwa,Sembehun,Bandajuma
Bagruwa,Sembehun,Jenneh
Bagruwa,Sembehun,Sembehunwo
Bagruwa,Sembehun,Mokumba
Bagruwa,Sembehun,Kongonani
Bagruwa,Sembehun,Dodo
Bagruwa,Sembehun,Kibbie
Bagruwa,Sembehun,Machar
Bagruwa,Sembehun,Senegai
Bagruwa,Sembehun,Sembehun
Bagruwa,Sembehun,Kpetewona
Bumpeh,Bellentin,Mokamem
Bumpeh,Bellentin,Mosampa
Bumpeh,Bellentin,Mosimbara Juunction
Bumpeh,Bellentin,Mosemoi
Bumpeh,Bellentin,Mogbencha
Bumpeh,Bellentin,Motaua
Bumpeh,Bellentin,Nyandehun
Bumpeh,Bellentin,Motaytee
Bumpeh,Bellentin,Mobai
Bumpeh,Bellentin,Boloh
Bumpeh,Bumpeh,Tokpombu
Bumpeh,Bumpeh,Modigay
Bumpeh,Bumpeh,Ngieya
