CHIEFDOM,SECTION,LOCALITY
Bure Kasseh Maconteh,Kagbanthama,Kagbanthama 
Bure Kasseh Maconteh,Kagbanthama,Gbomstrait
Bure Kasseh Maconteh,Kagbanthama,Ro-Wullah
Bure Kasseh Maconteh,Kagbanthama,Ro-Maron
Bure Kasseh Maconteh,Kagbanthama,Ro-Frana
Bure Kasseh Maconteh,Kagbanthama,Komrabai
Bure Kasseh Maconteh,Kagbanthama,Ro-Fothareh
Bure Kasseh Maconteh,Romeni,Petifu Tolon
Bure Kasseh Maconteh,Romeni,Roktolon
Bure Kasseh Maconteh,Romeni,Romeni
Bure Kasseh Maconteh,Romeni,Makonda
Bure Kasseh Maconteh,Romeni,Laminaya
Bure Kasseh Maconteh,Romeni,Rotimbo
Bure Kasseh Maconteh,Romeni,Matinga
Bure Kasseh Maconteh,Romeni,Rothongbai
Bure Kasseh Maconteh,Romeni,Rokon
Bure Kasseh Maconteh,Rotifunk,Lungi
Bure Kasseh Maconteh,Rotifunk,Rogbalan
Bure Kasseh Maconteh,Rotifunk,Makobba
Bure Kasseh Maconteh,Rotifunk,Mayisneh
Bure Kasseh Maconteh,Rotifunk,Rotifunk
Bure Kasseh Maconteh,Rotifunk,Makel
Bure Kasseh Maconteh,Rotifunk,Maforay
Bure Kasseh Maconteh,Rotifunk,Mahera
Bure Kasseh Maconteh,Rotifunk,Tassor
Bure Kasseh Maconteh,Rotifunk,Ro-Woreh
Bure Kasseh Maconteh,Rotifunk,Gbomsul
Bure Kasseh Maconteh,Rotifunk,Rogbithor
Bure Kasseh Maconteh,Rotifunk,Madee
Bure Kasseh Maconteh,Rotifunk,Rothain
Bure Kasseh Maconteh,Rotifunk,Mamboi
Bure Kasseh Maconteh,Rotifunk,Mabureh
Bure Kasseh Maconteh,Rotifunk,Masimba
Bure Kasseh Maconteh,Barmoi,Mabanta
Bure Kasseh Maconteh,Barmoi,Mataeti
Bure Kasseh Maconteh,Barmoi,Barmoi
Bure Kasseh Maconteh,Barmoi,Ro-Tawa
Bure Kasseh Maconteh,Barmoi,Gbonkor
Bure Kasseh Maconteh,Barmoi,Mataray
Bure Kasseh Maconteh,Kaiyeabor,Foredugu
Bure Kasseh Maconteh,Kaiyeabor,Gbonkormakent
Bure Kasseh Maconteh,Kaiyeabor,Rolal Thameso
Bure Kasseh Maconteh,Kaiyeabor,Mashaka
Bure Kasseh Maconteh,Kaiyeabor,Ro-Koya
Bure Kasseh Maconteh,Kaiyeabor,Mabin
Bure Kasseh Maconteh,Kaiyeabor,Malal Conteh
