CHIEFDOM,SECTION,LOCALITY
Barri,Laimaba 1,Busu
Barri,Laimaba 1,Konia
Barri,Laimaba 1,Waima
Barri,Laimaba 1,Masaila
Barri,Laimaba 1,Kamaru
Barri,Laimaba 1,Nongowa
Barri,Laimaba 1,Gbella
Barri,Laimaba 1,Kanbama
Barri,Laimaba 1,Yombowolo
Barri,Laimaba 1,Golawoma
Barri,Laimaba 1,Gnaiaguhun
Barri,Laimaba 1,Kotumahun
Barri,Laimaba 1,Kandor
Barri,Laimaba 1,Madina
Barri,Laimaba 1,Tuba
Barri,Jougba,Nongowa
Barri,Jougba,Niagolihun
Barri,Jougba,Tualu
Barri,Jougba,Semabu
Barri,Jougba,Gombu
Barri,Jougba,Kongohun
Barri,Jougba,Jene
Barri,Jougba,Kambama
Barri,Jougba,Baiama
Barri,Jougba,Taninahun
Barri,Jougba,Vaama
Barri,Tetima,Golala
Barri,Tetima,Sahun
Barri,Malla,Baoma
Barri,Malla,Jeoma
Barri,Malla,Njala
Barri,Sonjour I,Giawama
Barri,Sonjour I,Kongo
Barri,Sonjour I,Sefula
Barri,Sonjour I,Turela
Barri,Sonjour I,Jaluahun
Barri,Sonjour I,Dendegahun
Barri,Sonjour I,Baraka
Barri,Sonjour I,Semabu
Barri,Sonjour I,Jakama
Barri,Sonjour I,Giema
Barri,Sonjour II,Kanella
Barri,Sonjour II,Jaiwulo
Barri,Sonjour II,Community
Barri,Sonjour II,Bandasuma
Barri,Sonjour II,Konna
Barri,Sonjour II,Buma
Barri,Sonjour II,Turela
Barri,Sonjour II,Koima
Barri,Sonjour II,Gboyama
Barri,Sonjour II,Batoma
Barri,Sonjour II,Massawo
Barri,Sonjour II,Fulawahun
Barri,Sonjour II,Bambakoh
Barri,Karjei,Mapoima
Barri,Karjei,Naianhun
Barri,Karjei,Boma I
Barri,Jougba,Nongowa
Barri,Jougba,Niagolihun
Barri,Jougba,Tualu
Barri,Jougba,Semabu
Barri,Jougba,Gombu
Barri,Jougba,Kongohun
Barri,Jougba,Jene
Barri,Jougba,Kambama
Barri,Jougba,Baiama
Barri,Jougba,Taninahun
Barri,Jougba,Vaama
Barri,Dakona,Grima
Barri,Dakona,Komende
Barri,Dakona,Meme
Barri,Dakona,Baomangeiya
Barri,Dakona,Gbengema
Barri,Dakona,Teyoma
Barri,Dakona,Samatia
Barri,Dakona,Taninahun
Barri,Dakona,Korigboma
Barri,Dakona,Mano
Barri,Dakona,Maka
Barri,Dakona,Sembehun
Barri,Fallay,Gafalu
Barri,Fallay,Komende
Barri,Fallay,Felegoma
Barri,Fallay,Kondowahun
Barri,Fallay,Wokoya
Barri,Fallay,Shenge
Barri,Fallay,Potoru
Barri,Fallay,Potoru
Barri,Fallay,Largo
Barri,Fallay,Giema
Barri,Fallay,Tambiyama
Barri,Fallay,Jaiyahun
Barri,Fallay,Yuabu
Barri,Fallay,Bevehun
Barri,Fallay,Nyaiama
Barri,Laimaba,Kandor
Barri,Laimaba,Madina
Barri,Laimaba,Tuba
Gallinas Peri,Joya,Sagwehun
Gallinas Peri,Joya,Vaama
Gallinas Peri,Joya,Thaifa
Gallinas Peri,Joya,Bagdad
Gallinas Peri,Joya,Falaba I
Gallinas Peri,Joya,Ngewojahun
Gallinas Peri,Joya,Foindu I
Gallinas Peri,Joya,Nieyama
Gallinas Peri,Joya,Jomborhun
Gallinas Peri,Joya,Tokpombu I
Gallinas Peri,Joya,Ngon
Gallinas Peri,Joya,Konovulahun
Gallinas Peri,Joya,Yowabu
Gallinas Peri,Joya,Korwama
Gallinas Peri,Joya,Kanjallu
Gallinas Peri,Joya,Libbie
Gallinas Peri,Kortuglu,Nyandehun I
Gallinas Peri,Kortuglu,Pelagbamei
Gallinas Peri,Kortuglu,Bandajuma
Gallinas Peri,Kortuglu,Kobolia
Gallinas Peri,Kortuglu,Makorma
Gallinas Peri,Kortuglu,Messima
Gallinas Peri,Kortuglu,Missila
Gallinas Peri,Kortuglu,Gendema
Gallinas Peri,Kortuglu,Bushay
Gallinas Peri,Kortuglu,Lileima
Gallinas Peri,Kortuglu,Kapurma
Gallinas Peri,Kortuglu,Njagor
