CHIEFDOM,SECTION,LOCALITY
Gbonkolenken,Lower Massakong,Mamosiray
Gbonkolenken,Lower Massakong,Maforabi
Gbonkolenken,Lower Massakong,Matonton
Gbonkolenken,Lower Massakong,Mansumana
Gbonkolenken,Lower Massakong,Mayesi
Gbonkolenken,Lower Polie,Mathonoh
Gbonkolenken,Lower Polie,Maraka - Berimbeh 
Gbonkolenken,Lower Polie,Magbokeh
Gbonkolenken,Lower Polie,Rofotaneh
Gbonkolenken,Lower Polie,Makrogba
Gbonkolenken,Petifu Mayawa (A),Petifu Line
Gbonkolenken,Petifu Mayawa (A),Burrfaya
Gbonkolenken,Petifu Mayawa (A),Romakotha
Gbonkolenken,Petifu Mayawa (A),Ropapa
Gbonkolenken,Petifu Mayawa (A),Petifu Mayawa 
Gbonkolenken,Petifu Mayawa (A),Rosarr I
Gbonkolenken,Petifu Mayawa (A),Makali
Gbonkolenken,Petifu Mayawa (A),Bathpla
Gbonkolenken,Petifu Mayawa (A),Mamela
Gbonkolenken,Petifu Mayawa (A),Rongollah
Gbonkolenken,Petifu Mayawa (A),Mafay
Gbonkolenken,Petifu Mayawa (A),Rokon
Gbonkolenken,Petifu Mayawa (A),Mafainka
Gbonkolenken,Petifu Mayawa (A),Ropotka
Gbonkolenken,Petifu Mayawa (A),Makenenday
Gbonkolenken,Petifu Mayawa (B),Yele Morie
Gbonkolenken,Petifu Mayawa (B),Petifu II
Gbonkolenken,Petifu Mayawa (B),Rofula
Gbonkolenken,Petifu Mayawa (B),Rosar - Yele
Gbonkolenken,Petifu Mayepoh,Petifu Lol
Gbonkolenken,Petifu Mayepoh,Moyamba Lol
Gbonkolenken,Petifu Mayepoh,Rofunk
Gbonkolenken,Petifu Mayepoh,Rofothaneh
Gbonkolenken,Petifu Mayepoh,Romakoya
Gbonkolenken,Petifu Mayepoh,Roline Kanawaba
Gbonkolenken,Petifu Mayepoh,Romagbura 
Gbonkolenken,Petifu Mayepoh,Makeranasi
Gbonkolenken,Petifu Mayepoh,Madina
Gbonkolenken,Petifu Mayepoh,Masewa
Gbonkolenken,Petifu Mayepoh,Mamanoh
Gbonkolenken,Petifu Mayepoh,Royeama
Gbonkolenken,Petifu Mayepoh,Makonteh
Gbonkolenken,Petifu Mayepoh,Masang
Gbonkolenken,Petifu Mayepoh,Makarr Bai
Gbonkolenken,Petifu Mayepoh,Rogbagbai
Gbonkolenken,Petifu Mayepoh,Magesseh
Gbonkolenken,Petifu Mayepoh,Malifa
Gbonkolenken,Petifu Mayepoh,Mabankra
Gbonkolenken,Petifu Mayepoh,Mayamb M'Bombo
Gbonkolenken,Petifu Mayepoh,Petifu 
Gbonkolenken,Petifu Mayepoh,Rorainka
Gbonkolenken,Petifu Mayepoh,Makeni Lol
Gbonkolenken,Petifu Mayepoh,RolineKabonko
Gbonkolenken,Upper Massakong,Makoblo I
Gbonkolenken,Upper Massakong,Matack
Gbonkolenken,Upper Massakong,Makrotamba
Gbonkolenken,Upper Massakong,Mabombo
Gbonkolenken,Upper Massakong,Warima
Gbonkolenken,Upper Massakong,Makump Gbollu
Gbonkolenken,Upper Massakong,Maworko
Gbonkolenken,Upper Massakong,Makali
Gbonkolenken,Upper Massakong,Rosarr
Gbonkolenken,Upper Massakong,Robaraynyin
Gbonkolenken,Upper Massakong,Rogberray
Gbonkolenken,Upper Massakong,Roline Kanasoko
Gbonkolenken,Upper Massakong,Maramneh
Gbonkolenken,Upper Massakong,Walbana-Makankisa
Gbonkolenken,Upper Massakong,Massakong
Gbonkolenken,Upper Massakong,Mayagba
Gbonkolenken,Upper Massakong,Makawbana
Gbonkolenken,Upper Massakong,Masalphe
Gbonkolenken,Upper Massakong,Makoron
Gbonkolenken,Upper Polie,Rogbankan
Gbonkolenken,Upper Polie,Matamp Polie 
Gbonkolenken,Upper Polie,Mabarr- Polie 
Gbonkolenken,Upper Polie,Rowonkoh
Gbonkolenken,Upper Polie,Komrabai I
Gbonkolenken,Upper Polie,Rothawa
Gbonkolenken,Upper Polie,Makapr-Sakie
Gbonkolenken,Upper Polie,Masorie
Gbonkolenken,Yele Manowo,Romakempeh
Gbonkolenken,Yele Manowo,Romomorika
Gbonkolenken,Yele Manowo,Robis
Gbonkolenken,Yele Manowo,Rosint
Gbonkolenken,Yele Manowo,Rofourty
Gbonkolenken,Yele Manowo,Rokondobie
Gbonkolenken,Yele Manowo,Romaranko
Gbonkolenken,Yele Manowo,Roruks
Gbonkolenken,Yele Manowo,Manowo
Gbonkolenken,Yele Manowo,Romatamba
Gbonkolenken,Yele Manowo,Romabembay
Gbonkolenken,Yele Manowo,Roboff
Gbonkolenken,Yele Manowo,Rongollah
Gbonkolenken,Yele Manowo,Magbononko
Gbonkolenken,Yele Manowo,Romambo
Gbonkolenken,Yele Manowo,Romarukoh
Gbonkolenken,Yele Manowo,Romagbareh
Gbonkolenken,Yele Manowo,Rokaniya
Gbonkolenken,Yiben,Roton
Gbonkolenken,Yiben,Mayiba
Gbonkolenken,Yiben,Rosuru
Gbonkolenken,Yiben,Magbondon
Gbonkolenken,Yiben,Yiben 
Gbonkolenken,Yiben,Mayele
Gbonkolenken,Yiben,Mabayroh
Gbonkolenken,Yiben,Magbutu
Gbonkolenken,Yiben,Magburaka Lol
Gbonkolenken,Yiben,Makump
Gbonkolenken,Yiben,Makoma
Gbonkolenken,Yiben,Ronyeta
Gbonkolenken,Yiben,Mabiya
Gbonkolenken,Yiben,Rokendemma
Gbonkolenken,Yiben,Petifu Yiben
Gbonkolenken,Yiben,Rotumu
Gbonkolenken,Lower Massakong,Masomanoh
Gbonkolenken,Lower Massakong,Medigba
Gbonkolenken,Lower Massakong,Magbunyeh
Gbonkolenken,Lower Massakong,Makereh
Gbonkolenken,Lower Massakong,Makandeh
Gbonkolenken,Lower Massakong,Katema
