CHIEFDOM,SECTION,LOCALITY
Koya Rural,Malambay,Masorie
Koya Rural,Malambay,Marabay
Koya Rural,Malambay,Joe Town
Koya Rural,Malambay,Nyagba Town
Koya Rural,Malambay,Maluseni
Koya Rural,Malambay,Makoray
Koya Rural,Malambay,Mabaray
Koya Rural,Malambay,Mafonike
Koya Rural,Malambay,Majoe
Koya Rural,Malambay,Malambay
Koya Rural,Malambay,Makandor
Koya Rural,Malambay,Magbampo
Koya Rural,Songo,Mile Nine
Koya Rural,Songo,Kono Town
Koya Rural,Songo,Kondibu
Koya Rural,Songo,Songo Colony B
Koya Rural,Songo,Taylor Town
Koya Rural,Songo,Masorinyaw
Koya Rural,Songo,Maponponi
Koya Rural,Magbafti,Foofoo Water
Koya Rural,Magbafti,Sherbro Town
Koya Rural,Magbafti,Magbafti
Koya Rural,Magbafti,Rogbere
Koya Rural,Magbafti,Mamankie
Koya Rural,Magbafti,Masine
Koya Rural,Magbafti,Makoilunga
Koya Rural,Magbafti,Makonte
Koya Rural,Magbafti,Mashewore
Koya Rural,Magbafti,Mokaimba
Koya Rural,Magbafti,Masita
Koya Rural,Magbafti,Makomba
Koya Rural,Magbafti,Foiya
Koya Rural,Magbafti,Gbonkowili
Koya Rural,Magbafti,Manalo
Koya Rural,Magbafti,Moyain
Koya Rural,Magbafti,Batkonp
Koya Rural,Magbafti,Mobapay
Koya Rural,Magbafti,Rokaisaltpond
Koya Rural,Magbafti,Barmouth
Koya Rural,Magbafti,Fogbo I
Koya Rural,Magbafti,Fogbo II
Koya Rural,Fabaina Area,Garahun
Koya Rural,Fabaina Area,Mahaine
Koya Rural,Fabaina Area,Rokundor
Koya Rural,Fabaina Area,Masorie
Koya Rural,Fabaina Area,Magbangba
Koya Rural,Fabaina Area,Molamina
Koya Rural,Fabaina Area,Robonga
Koya Rural,Fabaina Area,Makonno
Koya Rural,Fabaina Area,Mafulla
Koya Rural,Fabaina Area,Kpuawaila
Koya Rural,Fabaina Area,Maswaray
Koya Rural,Fabaina Area,Gbovehun
Koya Rural,Madonkeh,Mashallay
Koya Rural,Madonkeh,Makonkonday
Koya Rural,Madonkeh,Madonkeh
Koya Rural,Madonkeh,Mabamp
Koya Rural,Madonkeh,Mabrown
Koya Rural,Madonkeh,Kwama
Koya Rural,Madonkeh,Makoko
Koya Rural,Madonkeh,Kola Tree
Koya Rural,Newton,Goodman farm
Koya Rural,Newton,Limba Corner
Koya Rural,Newton,Njandehun Old Town
Koya Rural,Newton,Serry Town
Koya Rural,Newton,Mile Nine
Koya Rural,Newton,Newton
Koya Rural,Newton,Kali Town
Koya Rural,Newton,Six Mile
Koya Rural,Newton,Mabaola
Koya Rural,Newton,Magbanamati
Koya Rural,Newton,Mapaira
Koya Rural,Newton,Kpowubu
Koya Rural,Newton,Mabekkay
Koya Rural,Newton,Makandeh
Koya Rural,Newton,Makarrifon
Koya Rural,Newton,Mabuvehun
Koya Rural,Newton,Pratt Fakai
Koya Rural,Newton,Batama
Mountain Rural,Bathurst,Bathurst Village
Mountain Rural,Charlotte,Charlotte
Mountain Rural,Charlotte,Mothaim
Mountain Rural,Gloucester Area,Gloucester
Mountain Rural,Leicester Area,Fourah Bay College
Water Loo Rural,Hastings Village Area,New Site Grafton
Water Loo Rural,Hastings Village Area,Grafton I
Water Loo Rural,Hastings Village Area,Kossoh Town II
Water Loo Rural,Hastings Village Area,Lower Jui
Water Loo Rural,Hastings Village Area,Upper Jui
Water Loo Rural,Hastings Village Area,Rogbangba
Water Loo Rural,Hastings Village Area,Hastings
Water Loo Rural,Hastings Village Area,New Yams Farm
Water Loo Rural,Hastings Village Area,Fulla Town
Water Loo Rural,Hastings Village Area,Juite Town
Water Loo Rural,Hastings Village Area,Gbongbo
Water Loo Rural,Hastings Village Area,Kondorla
Water Loo Rural,Hastings Village Area,Old Yams Farm
Water Loo Rural,Hastings Village Area,Susu Town
Water Loo Rural,Hastings Village Area,John Top
Water Loo Rural,Hastings Village Area,Limber Corner
Water Loo Rural,Hastings Village Area,Rokel
Water Loo Rural,Hastings Village Area,Bondigre
Water Loo Rural,Hastings Village Area,Depea Water
Water Loo Rural,Hastings Village Area,Loko Town
Water Loo Rural,Hastings Village Area,Alia Wharf
Water Loo Rural,Hastings Village Area,Devile Hole
Water Loo Rural,Hastings Village Area,Sima Town
Water Loo Rural,Hastings Village Area,Congo
Water Loo Rural,Hastings Village Area,Pawpaw
Water Loo Rural,Campbell Town village Area,Old Campbell Town
Water Loo Rural,Campbell Town village Area,Matindi
Water Loo Rural,Campbell Town village Area,Batbai
Water Loo Rural,Campbell Town village Area,Temne Town
Water Loo Rural,Campbell Town village Area,Toppghun
Water Loo Rural,Campbell Town village Area,Puwhun
Water Loo Rural,Benguema Village Area,Benguema
Water Loo Rural,Benguema Village Area,Bassa Town
Water Loo Rural,Benguema Village Area,Samuel Town
Water Loo Rural,Benguema Village Area,Soso Town
Water Loo Rural,Benguema Village Area,Kabo Water
Water Loo Rural,Benguema Village Area,Sukuma Town
Water Loo Rural,Benguema Village Area,Macdonnald
Water Loo Rural,Benguema Village Area,Bapohn
Water Loo Rural,Benguema Village Area,Wonifungba
Water Loo Rural,Benguema Village Area,Koto Pema
Water Loo Rural,Waterloo Village Area,Matainkay
Water Loo Rural,Waterloo Village Area,Paloko
Water Loo Rural,Waterloo Village Area,Jones Farm
Water Loo Rural,Waterloo Village Area,Fishpond
Water Loo Rural,Waterloo Village Area,Sansan Water
Water Loo Rural,Waterloo Village Area,Water Loo
Water Loo Rural,Waterloo Village Area,Cole Town I
Water Loo Rural,Waterloo Village Area,Lumpa
Water Loo Rural,Waterloo Village Area,Mabureh
York Rural,York,Tokeh
York Rural,York,York
York Rural,York,Big Water
York Rural,York,Black JohnSon
York Rural,York,Johnobey
York Rural,Kent,Kent
York Rural,Kent,Bureh Town
York Rural,Kent,Mamah Beach
York Rural,Hamilton,Lakka
York Rural,Hamilton,Hamilton
York Rural,Hamilton,Hamilton Beach
York Rural,Hamilton,Mambo
York Rural,Hamilton,One Ose
York Rural,Hamilton,Mil 13
York Rural,Hamilton,Banga Farm
York Rural,Hamilton,Sussex
York Rural,Hamilton,Sherbro Town
York Rural,Hamilton,Bawbaw I
York Rural,Hamilton,Bawbaw II
York Rural,Sattia/Tombo,Tombo Town
York Rural,Sattia/Tombo,Warlie
York Rural,Sattia/Tombo,Tortikelleh
York Rural,Sattia/Tombo,Mamodu Town
York Rural,Sattia/Tombo,Old Kerry Town
York Rural,Sattia/Tombo,Newkerry Town
York Rural,Sattia/Tombo,Baoma
York Rural,Sattia/Tombo,During Town
York Rural,Sattia/Tombo,Susu Town
York Rural,Sattia/Tombo,Tissana
York Rural,Sattia/Tombo,Sillah Town
