CHIEFDOM,SECTION
Rural East,Fabaina Area
Rural East,Hasting Village Area
Rural East,Hastings Village Area (Grafton - Deep Eye Water Lower)
Rural East,Hastings Village Area (Jui To Deep Eye Water - Upper)
Rural East,Kerry Town
Rural East,Kossoh Town
Rural East,Limba Corner
Rural East,Madonkeh
Rural East,Magbafti
Rural East,Mile 9
Rural East,Newton Area
Rural East,Songo Area
Rural East,Waterloo Area 1
Rural East,Waterloo Area II
Rural East,Waterloo Freetown park
Rural East,Waterloo Village (Mabureh ,Manakoya)
Rural East,Waterloo Village Area (Lumpa, Cole Town)
Rural West,Benguima Area
Rural West,Black Johnson
Rural West,During Town
Rural West,Fonima
Rural West,Gbendebu
Rural West,Goderich -Mechem
Rural West,Goderich-Funkia/Tafuna
Rural West,Godrich-Adonkia/Mia Room
Rural West,Hamilton
Rural West,Kent & York
Rural West,Milton Margai
Rural West,Russel
Rural West,Sattia
Rural West,Tisana
Rural West,Tokeh
Rural West,Tombo (Fishing Ground)
Urban East,Allen Town 1&2
Urban East,Bombay
Urban East,Bottom Oku
Urban East,Calaba town
Urban East,Cline Town
Urban East,Coconut farm / Asho
Urban East,Congo Water 1&2
Urban East,Consider lane
Urban East,Foulah Town
Urban East,Fourah Bay
Urban East,Grass Field
Urban East,Industral Estate
Urban East,Jalloh Tarrace
Urban East,Kissy Brook
Urban East,Kissy Brook
Urban East,Kissy Bye Pass I
Urban East,Kissy Bye Pass I
Urban East,Kissy Bye Pass II
Urban East,Kissy Mental
Urban East,Kissy Mental Area
Urban East,Kissy Mess Mess
Urban East,Kuntolor
Urban East,Lowcost Housing
Urban East,Mamba Ridge I
Urban East,Mamba Ridge Ii
Urban East,Mayenkineh
Urban East,Mount Aureol
Urban East,ODCH
Urban East,Old Warf
Urban East,Pamuronko
Urban East,Pamuronko
Urban East,PCMH
Urban East,Portee
Urban East,Quarry
Urban East,Robis
Urban East,Rokupa
Urban East,Shell
Urban East,Shell
Urban West,Aberdeen
Urban West,Albert Academy
Urban West,Ascension Town
Urban West,Bathurst
Urban West,Brookfields
Urban West,Brookfields
Urban West,Brookfields-Red
Urban West,Charlotte
Urban West,Cockerill-Aberdeen
Urban West,Cockle-Bay/College
Urban West,Congo Cross Area
Urban West,Congo Town
Urban West,Connaught Hospital
Urban West,Dwurzak
Urban West,George Brook
Urban West,Ginger Hall
Urban West,Gloucester
Urban West,Hill Station (UW1)
Urban West,Juba/ Kaningo
Urban West,Kingtom
Urban West,Kroo Town
Urban West,Leicester
Urban West,Lumley
Urban West,Malama/Kamayama
Urban West,Mount Aureol
Urban West,Mountain Regent
Urban West,Murray Town
Urban West,New England-Hannes
Urban West,New England-Hill C (UW2)
Urban West,Pipeline/Wilkinson
Urban West,Regent
Urban West,Sanders street
Urban West,Sanders Street Area
Urban West,Sorie Town
Urban West,Susan's Bay
Urban West,Susan's Town
Urban West,Tengbeh Town
Urban West,Tower Hill
Urban West,Wilberforce
