CHIEFDOM,SECTION
Rural East,Fabaina Area
Rural East,Hasting Village Area
Rural East,Hastings Village Area (Grafton - Deep Eye Water Lower)
Rural East,Hastings Village Area (Jui To Deep Eye Water - Upper)
Rural East,Kerry Town
Rural East,Kossoh Town
Rural East,Limba Corner
Rural East,Madonkeh
Rural East,Magbafti
Rural East,Mile 9
Rural East,Newton Area
Rural East,Songo Area
Rural East,Waterloo Area 1
Rural East,Waterloo Area II
Rural East,Waterloo Freetown park
Rural East,Waterloo Village (Mabureh ,Manakoya)
Rural East,Waterloo Village Area (Lumpa, Cole Town)
Rural West,Benguima Area
Rural West,Black Johnson
Rural West,During Town
Rural West,Fonima
Rural West,Gbendebu
Rural West,Goderich -Mechem
Rural West,Goderich-Funkia/Tafuna
Rural West,Godrich-Adonkia/Mia Room
Rural West,Hamilton
Rural West,Kent & York
Rural West,Milton Margai
Rural West,Russel
Rural West,Sattia
Rural West,Tisana
Rural West,Tokeh
Rural West,Tombo (Fishing Ground)
