CHIEFDOM,SECTION
Urban East,Allen Town 1&2
Urban East,Bombay
Urban East,Bottom Oku
Urban East,Calaba town
Urban East,Cline Town
Urban East,Coconut farm / Asho
Urban East,Congo Water 1&2
Urban East,Consider lane
Urban East,Foulah Town
Urban East,Fourah Bay
Urban East,Grass Field
Urban East,Industral Estate
Urban East,Jalloh Tarrace
Urban East,Kissy Brook
Urban East,Kissy Brook
Urban East,Kissy Bye Pass I
Urban East,Kissy Bye Pass I
Urban East,Kissy Bye Pass II
Urban East,Kissy Mental
Urban East,Kissy Mental Area
Urban East,Kissy Mess Mess
Urban East,Kuntolor
Urban East,Lowcost Housing
Urban East,Mamba Ridge I
Urban East,Mamba Ridge Ii
Urban East,Mayenkineh
Urban East,Mount Aureol
Urban East,ODCH
Urban East,Old Warf
Urban East,Pamuronko
Urban East,Pamuronko
Urban East,PCMH
Urban East,Portee
Urban East,Quarry
Urban East,Robis
Urban East,Rokupa
Urban East,Shell
Urban East,Shell
Urban West,Aberdeen
Urban West,Albert Academy
Urban West,Ascension Town
Urban West,Bathurst
Urban West,Brookfields
Urban West,Brookfields
Urban West,Brookfields-Red
Urban West,Charlotte
Urban West,Cockerill-Aberdeen
Urban West,Cockle-Bay/College
Urban West,Congo Cross Area
Urban West,Congo Town
Urban West,Connaught Hospital
Urban West,Dwurzak
Urban West,George Brook
Urban West,Ginger Hall
Urban West,Gloucester
Urban West,Hill Station (UW1)
Urban West,Juba/ Kaningo
Urban West,Kingtom
Urban West,Kroo Town
Urban West,Leicester
Urban West,Lumley
Urban West,Malama/Kamayama
Urban West,Mount Aureol
Urban West,Mountain Regent
Urban West,Murray Town
Urban West,New England-Hannes
Urban West,New England-Hill C (UW2)
Urban West,Pipeline/Wilkinson
Urban West,Regent
Urban West,Sanders street
Urban West,Sanders Street Area
Urban West,Sorie Town
Urban West,Susan's Bay
Urban West,Susan's Town
Urban West,Tengbeh Town
Urban West,Tower Hill
Urban West,Wilberforce
