CHIEFDOM,SECTION
Koya Rural,Fabaina Area
Koya Rural,Magbafti
Koya Rural,Malambay
Koya Rural,Newton
Mountain Rural,Bathurst
Mountain Rural,Charlotte
Mountain Rural,Gloucester
Mountain Rural,Leicester
Mountain Rural,Regent
Waterloo Rural,Benguema Village A
Waterloo Rural,Campbell Town Vill
Waterloo Rural,Hastings Village A
York Rural,Gbendembu
York Rural,Goderich-Adonkia/M
York Rural,Goderich-Funkia
York Rural,Hamilton
York Rural,Kent
York Rural,Sattia/Tombo
York Rural,York
Koya Rural,Songo
Koya Rural,Madonkeh
Waterloo Rural,Waterloo Village A
