CHIEFDOM,SECTION
East I,Cline Town
East I,Fourah Bay
East I,Kossoh Town
East II,Bombay
East II,Coconut Farm/ Ashobi Corner
East II,Foulah Town
East II,Ginger Hall
East II,Kissy Brook
East II,Magazine
East II,Mount Aureol
East II,Quarry/ Kissy
East III,Allen Town I
East III,Allen Town II
East III,Bottom Oku/ Wellington
East III,Congo Water I
East III,Congo Water II
East III,Grass Field/ Wellinghton
East III,Industrial Estate/ Wellington
East III,Jalloh Terrace
East III,Kissy Brook
East III,Kissy Bye Pass I
East III,Kissy Bye Pass II
East III,Kissy Mental
East III,Kissy Mess Mess
East III,Kuntolor
East III,Lowcost Housing
East III,Mamba Ridge I
East III,Mamba Ridge II
East III,Mayenkineh
East III,Old Warf
East III,Pamuronko
East III,Portee
East III,Robis
East III,Rokupa
East III,Shell
East III,Tasso Island
East III,Thunderhill
Central I,Albert Academy
Central I,Mountain Regent
Central I,Sorie Town
Central I,Susan' s Bay
Central I,Tower Hill
Central II,Connaught Hospital
Central II,Sanders Brook
West I,Ascension Town
West I,Brookfields
West I,Kingtom
West I,Kroo Town
West II,Brookfields-Congo Cross
West II,Brookfields-Red Pump
West II,Congo Town
West II,George Brook (Dwarzark)
West II,New England-Hannes
West II,New England-Hill Cot
West II,Tengbeh Town
West III,Aberdeen
West III,Cockerill-Aberdeen
West III,Cockle-Bay /Collegiate
West III,Hill Station
West III,Juba/Kaningo
West III,Lumley
West III,Malama/Kamayama
West III,Murray Town
West III,Pipeline/Wilkinson
West III,Grass Field/ Lumley
West III,Wilberforce
West III,Quarry/ Wilkinson road
