gis_team,locations_file
Bonthe Urban,bonthe town
Jawie,jawie
Kpeje Bongre,peje bongre
Njaluahun,jaluahun
Kandu Leppiama,kandu legbewama
Niawa,nyawa
Wandor,wando
Gbane,gbaneh
Gbane Kandor,gbaneh kandor
Gbense,gbenseh
Gorama Kono,gorama (ngorama)
Gbendembu Ngowahun,gbendembu gowahun
Magbaiamba Gowahun,magbaiamba
Sanda Tendaran,sanda tenraran
Follosaba Dembelia,dembelia musaia
Bureh Kasseh Mabon,bureh kasseh mabonteh
Masimera,masimra
Tinkatupa Makama Safroko,t. m. safroko
Kholifa Rowala,kholifa
Malal Mara,malal
Sambaia Bendugu,sambaia
Badjia,badja
Bagbwe,bagwe
Niawa Lenga,nyawa lenga
Wonde,wunde
Bendu-Cha,bendu cha
Kpanda Kemo,kpando kemo
Sittia,sitia
Gallinas Peri,gallinas perri
Peje West,peje west (kpejewaa)
Pejeh,peje
Yakemu Kpukumu,yakemo kpukumu krim
